player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Edin Džeko,9,BIH,FW,36,90,2,0,0,0,3,2,0,0,36,0,0,0,1.4,1.4,0.0,2,0,16,24,66.7,4,16,1,2,0
Lautaro Martínez,10,ARG,FW,25,83,0,1,0,0,3,0,0,0,46,0,0,1,0.5,0.5,0.5,2,1,20,29,69.0,4,27,2,5,3
Joaquín Correa,11,ARG,FW,28,7,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,1,2,0,0,0
Henrikh Mkhitaryan,22,ARM,CM,33,79,0,0,0,0,3,0,0,0,31,0,0,0,0.1,0.1,0.2,3,1,19,23,82.6,4,18,4,2,1
Marcelo Brozović,77,CRO,CM,29,11,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,1,3,0,0,0
Hakan Çalhanoğlu,20,TUR,CM,28,90,0,0,0,0,1,0,0,0,73,7,3,3,0.0,0.0,0.1,5,1,49,56,87.5,7,33,0,0,0
Nicolò Barella,23,ITA,CM,25,90,0,0,0,0,0,0,0,0,52,0,0,1,0.0,0.0,0.0,3,1,36,47,76.6,4,36,3,1,0
Federico Dimarco,32,ITA,WB,25,79,0,0,0,0,1,1,0,0,54,1,0,1,0.0,0.0,0.4,2,0,33,47,70.2,2,33,4,1,0
Robin Gosens,8,GER,WB,28,11,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,2,0,5,8,62.5,2,4,0,0,0
Denzel Dumfries,2,NED,WB,26,71,0,0,0,0,1,0,0,0,40,1,0,2,0.1,0.1,0.1,2,0,17,28,60.7,0,27,2,2,0
Raoul Bellanova,12,ITA,WB,22,19,0,0,0,0,0,0,0,0,9,1,0,1,0.0,0.0,0.0,0,0,3,5,60.0,0,4,1,0,0
Alessandro Bastoni,95,ITA,CB,23,71,0,0,0,0,0,0,0,0,59,1,0,1,0.0,0.0,0.0,1,0,49,54,90.7,4,44,0,0,0
Francesco Acerbi,15,ITA,CB,34,19,0,0,0,0,1,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,12,13,92.3,3,8,0,0,0
Stefan de Vrij,6,NED,CB,30,90,0,0,0,0,0,0,1,0,48,2,1,1,0.0,0.0,0.0,0,0,33,38,86.8,1,22,0,0,0
Milan Škriniar,37,SVK,CB,27,90,0,0,0,0,0,0,1,0,85,4,0,2,0.0,0.0,0.0,0,0,67,72,93.1,1,46,0,0,0
André Onana,24,CMR,GK,26,90,0,0,0,0,0,0,1,0,61,0,0,0,0.0,0.0,0.0,1,0,42,58,72.4,0,39,0,0,0
