minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
13,Federico Dimarco,Inter,0.02,0.09,Saved,22,Left Foot,,André Onana,Pass (Live),Alessandro Bastoni,Pass (Live)
33,Henrikh Mkhitaryan,Inter,0.04,,Blocked,18,Left Foot,,Lautaro Martínez,Pass (Live),Federico Dimarco,Pass (Live)
33,Henrikh Mkhitaryan,Inter,0.06,,Off Target,18,Right Foot,,Henrikh Mkhitaryan,Shot,,
33,Edin Džeko,Inter,0.17,,Off Target,12,Right Foot,,Henrikh Mkhitaryan,Shot,,
36,Hakan Çalhanoğlu,Inter,0.04,,Blocked,28,Right Foot,Free kick,Hakan Çalhanoğlu,Fouled,,
36,Edin Džeko,Inter,0.45,0.84,Goal,6,Right Foot,Volley,Lautaro Martínez,Pass (Live),Hakan Çalhanoğlu,Pass (Live)
43,Lautaro Martínez,Inter,0.07,,Off Target,4,Right Foot,,Hakan Çalhanoğlu,Pass (Live),Nicolò Barella,Pass (Live)
53,Denzel Dumfries,Inter,0.10,,Off Target,15,Right Foot,,,,,
55,Henrikh Mkhitaryan,Inter,0.06,,Off Target,21,Right Foot,,Denzel Dumfries,Pass (Live),Hakan Çalhanoğlu,Pass (Live)
56,Edin Džeko,Inter,0.76,0.88,Goal,3,Right Foot,Deflected,Henrikh Mkhitaryan,Pass (Live),Nicolò Barella,Pass (Live)
60,Lautaro Martínez,Inter,0.03,,Blocked,24,Right Foot,,Denzel Dumfries,Pass (Live),Nicolò Barella,Pass (Live)
66,Lautaro Martínez,Inter,0.38,,Off Target,7,Head,,Federico Dimarco,Pass (Live),Edin Džeko,Pass (Live)
84,Joaquín Correa,Inter,0.03,,Off Target,13,Right Foot,,Edin Džeko,Pass (Live),Robin Gosens,Pass (Live)
90+1,Francesco Acerbi,Inter,0.01,,Off Target,33,Left Foot,,Hakan Çalhanoğlu,Pass (Live),Robin Gosens,Pass (Live)
