player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Musa Barrow,99,GAM,FW,24,86,0,0,0,0,1,1,0,0,38,2,0,1,0.1,0.1,0.3,3,0,15,26,57.7,2,28,1,1,0
Antonio Raimondo,18,ITA,FW,18,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,4,1,0,0
Roberto Soriano,21,ITA,LW,32,82,0,0,0,0,2,0,0,0,46,0,0,1,0.1,0.1,0.1,3,0,34,37,91.9,3,28,3,1,1
Giorgos Kyriakopoulos,77,GRE,LW,27,8,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,6,11,54.5,0,10,1,1,1
Riccardo Orsolini,7,ITA,RW,26,86,1,0,0,0,3,1,0,0,48,1,0,1,0.5,0.5,0.2,4,0,28,36,77.8,2,23,3,5,2
Michel Aebischer,20,SUI,RW,26,4,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0
Lewis Ferguson,19,SCO,AM,23,82,0,0,0,0,1,0,0,0,50,1,2,1,0.1,0.1,0.0,3,0,35,43,81.4,5,25,0,1,0
Nikola Moro,6,CRO,"DM,AM",24,8,0,0,0,0,0,0,0,0,13,2,0,0,0.0,0.0,0.0,0,0,7,9,77.8,1,4,0,3,2
Nicolás Domínguez,8,ARG,"DM,AM",24,90,0,0,0,0,1,1,1,0,82,2,1,1,0.1,0.1,0.0,2,0,60,70,85.7,7,37,0,3,2
Jerdy Schouten,30,NED,DM,26,87,0,1,0,0,1,0,0,0,50,2,1,0,0.1,0.1,0.5,2,1,35,40,87.5,4,28,1,1,1
Gary Medel,17,CHI,DM,35,3,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,2,0,0,0
Andrea Cambiaso,50,ITA,LB,23,90,0,0,0,0,2,2,0,0,81,3,1,0,0.1,0.1,0.0,2,0,58,73,79.5,1,51,3,4,4
Joaquin Sosa,4,URU,CB,21,90,0,0,0,0,0,0,0,0,45,0,2,1,0.0,0.0,0.0,1,0,28,36,77.8,1,27,0,0,0
Jhon Lucumí,26,COL,CB,24,90,0,0,0,0,1,0,0,0,48,2,1,3,0.1,0.1,0.0,0,0,33,38,86.8,1,27,1,0,0
Stefan Posch,3,AUT,RB,25,90,0,0,0,0,1,0,0,0,79,0,1,0,0.0,0.0,0.0,3,0,62,74,83.8,5,38,0,1,0
Łukasz Skorupski,28,POL,GK,31,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,18,33,54.5,0,16,0,0,0
