player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Romelu Lukaku,90,BEL,FW,29,63,0,0,0,0,2,1,0,0,16,0,0,0,0.3,0.3,0.0,1,0,9,12,75.0,2,15,0,0,0
Edin Džeko,9,BIH,FW,36,27,0,0,0,0,1,1,0,0,17,0,1,0,0.1,0.1,0.1,1,0,10,15,66.7,1,12,0,0,0
Lautaro Martínez,10,ARG,FW,25,90,0,0,0,0,3,0,0,0,43,1,0,1,0.2,0.2,0.2,3,0,17,25,68.0,6,32,0,4,2
Robin Gosens,8,GER,LW,28,90,0,0,0,0,2,1,0,0,67,3,3,3,0.1,0.1,0.4,7,0,34,51,66.7,3,35,3,3,2
Denzel Dumfries,2,NED,RW,26,67,0,0,0,0,0,0,1,0,32,0,0,0,0.0,0.0,0.0,0,0,22,27,81.5,0,25,1,3,2
Danilo D'Ambrosio,33,ITA,"CB,RW",34,23,0,0,0,0,0,0,0,0,31,3,1,1,0.0,0.0,0.0,0,0,22,26,84.6,4,20,0,1,0
Hakan Çalhanoğlu,20,TUR,CM,29,90,0,0,0,0,2,1,0,0,49,2,0,0,0.2,0.2,0.1,2,0,32,40,80.0,6,31,1,0,0
Henrikh Mkhitaryan,22,ARM,CM,34,62,0,0,0,0,1,0,0,0,29,0,0,1,0.1,0.1,0.0,1,0,20,25,80.0,2,19,0,1,0
Nicolò Barella,23,ITA,CM,26,28,0,0,0,0,0,0,0,0,26,1,1,0,0.0,0.0,0.0,2,0,19,22,86.4,5,21,0,2,1
Marcelo Brozović,77,CRO,DM,30,82,0,0,0,0,1,0,0,0,71,2,2,0,0.1,0.1,0.0,0,0,51,60,85.0,3,54,1,0,0
Valentin Carboni,45,ARG,DM,17,8,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,3,0,1,1
Alessandro Bastoni,95,ITA,CB,23,90,0,0,0,0,0,0,0,0,66,4,1,0,0.0,0.0,0.1,1,0,49,56,87.5,4,44,1,1,0
Stefan de Vrij,6,NED,CB,31,45,0,0,0,0,0,0,1,0,34,0,1,1,0.0,0.0,0.0,0,0,27,33,81.8,2,24,0,0,0
Francesco Acerbi,15,ITA,CB,35,45,0,0,0,0,0,0,0,0,51,0,2,0,0.0,0.0,0.0,1,0,40,47,85.1,4,33,2,0,0
Matteo Darmian,36,ITA,"CB,RW",33,90,0,0,0,0,1,0,0,0,94,1,2,3,0.0,0.0,0.0,2,0,79,86,91.9,4,78,1,0,0
André Onana,24,CMR,GK,26,90,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,1,0,33,48,68.8,0,41,0,0,0
