player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Edin Džeko,9,BIH,FW,36,76,0,1,0,0,9,3,0,0,34,0,0,1,0.6,0.6,0.3,3,2,15,18,83.3,1,17,3,0,0
Romelu Lukaku,90,BEL,FW,29,14,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,0,2,0,0,0
Lautaro Martínez,10,ARG,FW,25,76,2,0,0,0,8,4,0,0,37,0,0,1,1.0,1.0,0.2,7,0,20,25,80.0,3,18,1,1,0
Joaquín Correa,11,ARG,FW,28,14,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,7,9,77.8,1,6,0,0,0
Henrikh Mkhitaryan,22,ARM,CM,34,90,0,0,0,0,2,0,0,0,66,3,2,0,0.1,0.1,0.0,4,0,54,58,93.1,4,38,1,0,0
Hakan Çalhanoğlu,20,TUR,CM,28,65,0,0,0,0,0,0,1,0,71,0,2,1,0.0,0.0,0.3,9,1,60,68,88.2,9,42,2,1,0
Kristjan Asllani,14,ALB,CM,20,25,0,0,0,0,0,0,0,0,26,1,0,0,0.0,0.0,0.0,0,0,22,25,88.0,1,19,0,0,0
Roberto Gagliardini,5,ITA,CM,28,90,0,0,0,0,2,0,0,0,58,2,0,2,0.2,0.2,0.0,3,0,36,47,76.6,3,25,1,1,0
Federico Dimarco,32,ITA,WB,25,66,0,0,0,0,2,1,0,0,55,3,0,0,0.1,0.1,0.5,11,0,40,49,81.6,3,28,1,0,0
Robin Gosens,8,GER,WB,28,24,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,20,25,80.0,0,15,1,1,0
Denzel Dumfries,2,NED,WB,26,90,0,0,0,0,1,1,0,0,58,1,1,1,0.1,0.1,0.1,4,0,40,53,75.5,6,35,7,1,1
Alessandro Bastoni,95,ITA,CB,23,90,0,0,0,0,4,1,0,0,116,3,1,1,0.1,0.1,0.1,3,0,84,102,82.4,17,70,4,1,0
Francesco Acerbi,15,ITA,CB,34,90,0,0,0,0,2,0,1,0,77,1,0,1,0.1,0.1,0.2,5,0,62,69,89.9,3,38,1,0,0
Matteo Darmian,36,ITA,CB,33,90,0,0,0,0,0,0,0,0,82,2,3,2,0.0,0.0,0.0,4,0,65,71,91.5,8,45,0,1,1
André Onana,24,CMR,GK,26,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,24,28,85.7,0,16,0,0,0
