minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
2,Edin Džeko,Inter,0.06,,Blocked,23,Right Foot,,Lautaro Martínez,Pass (Live),Roberto Gagliardini,Pass (Live)
5,Francesco Acerbi,Inter,0.10,,Off Target,9,Head,,Federico Dimarco,Pass (Dead),Federico Dimarco,Pass (Live)
7,Roberto Gagliardini,Inter,0.07,,Blocked,8,Head,,Federico Dimarco,Pass (Dead),,
9,Federico Dimarco,Inter,0.02,,Off Target,28,Left Foot,,Hakan Çalhanoğlu,Pass (Dead),Denzel Dumfries,Take-On
17,Edin Džeko,Inter,0.14,,Off Target,15,Left Foot,,Denzel Dumfries,Pass (Live),Matteo Darmian,Pass (Live)
20,Edin Džeko,Inter,0.03,,Blocked,22,Left Foot,,Francesco Acerbi,Pass (Live),Matteo Darmian,Pass (Live)
21,Alessandro Bastoni,Inter,0.06,,Off Target,10,Head,,Hakan Çalhanoğlu,Pass (Dead),Edin Džeko,Shot
21,Edin Džeko,Inter,0.04,0.06,Saved,16,Right Foot,Volley,Hakan Çalhanoğlu,Pass (Dead),Alessandro Bastoni,Shot
21,Lautaro Martínez,Inter,0.14,0.25,Goal,8,Left Foot,,Edin Džeko,Shot,,
23,Henrikh Mkhitaryan,Inter,0.08,,Off Target,16,Right Foot,Volley,Denzel Dumfries,Pass (Live),Henrikh Mkhitaryan,Pass (Live)
25,Edin Džeko,Inter,0.10,0.04,Saved,15,Right Foot,,Lautaro Martínez,Pass (Live),,
27,Lautaro Martínez,Inter,0.08,,Off Target,16,Right Foot,Volley,Alessandro Bastoni,Pass (Live),Hakan Çalhanoğlu,Pass (Live)
27,Lautaro Martínez,Inter,0.22,,Off Target,11,Left Foot,,Lautaro Martínez,Shot,,
33,Lautaro Martínez,Inter,0.13,0.04,Saved,12,Right Foot,Deflected,Federico Dimarco,Pass (Live),Alessandro Bastoni,Pass (Live)
35,Roberto Gagliardini,Inter,0.08,,Off Target,9,Head,,Hakan Çalhanoğlu,Pass (Live),Federico Dimarco,Pass (Live)
41,Edin Džeko,Inter,0.03,,Blocked,22,Right Foot,Deflected,Roberto Gagliardini,Pass (Live),Federico Dimarco,Pass (Live)
44,Edin Džeko,Inter,0.08,,Blocked,15,Left Foot,,Lautaro Martínez,Pass (Live),Henrikh Mkhitaryan,Pass (Live)
45,Federico Dimarco,Inter,0.04,0.18,Saved,26,Left Foot,,Hakan Çalhanoğlu,Pass (Live),Matteo Darmian,Pass (Live)
45,Lautaro Martínez,Inter,0.27,0.30,Saved,10,Right Foot,Volley,Federico Dimarco,Shot,,
45,Lautaro Martínez,Inter,0.08,,Off Target,9,Head,,Hakan Çalhanoğlu,Pass (Dead),Lautaro Martínez,Shot
47,Lautaro Martínez,Inter,0.06,,Blocked,6,Right Foot,,Hakan Çalhanoğlu,Pass (Live),Federico Dimarco,Pass (Dead)
48,Francesco Acerbi,Inter,0.04,,Blocked,20,Right Foot,Volley,Lautaro Martínez,Shot,,
49,Alessandro Bastoni,Inter,0.03,,Off Target,9,Head,,Federico Dimarco,Pass (Dead),Francesco Acerbi,Shot
51,Edin Džeko,Inter,0.03,0.06,Saved,24,Right Foot,,Denzel Dumfries,Pass (Live),Lautaro Martínez,Pass (Live)
61,Henrikh Mkhitaryan,Inter,0.04,,Off Target,26,Left Foot,,Francesco Acerbi,Pass (Live),,
64,Edin Džeko,Inter,0.13,,Blocked,15,Left Foot,,Federico Dimarco,Pass (Live),Roberto Gagliardini,Pass (Live)
65,Alessandro Bastoni,Inter,0.03,0.03,Saved,10,Head,,Henrikh Mkhitaryan,Pass (Live),Federico Dimarco,Pass (Dead)
65,Lautaro Martínez,Inter,0.06,0.40,Goal,11,Right Foot,Deflected,Edin Džeko,Pass (Live),Hakan Çalhanoğlu,Pass (Live)
86,Alessandro Bastoni,Inter,0.03,,Off Target,30,Left Foot,,Francesco Acerbi,Pass (Live),Matteo Darmian,Pass (Live)
90+1,Denzel Dumfries,Inter,0.11,0.06,Saved,10,Right Foot,,Francesco Acerbi,Pass (Dead),Henrikh Mkhitaryan,Fouled
