minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
2,Nicolò Barella,Inter,0.02,0.16,Saved,28,Right Foot,,Hakan Çalhanoğlu,Pass (Live),Federico Dimarco,Pass (Live)
3,Nicolò Barella,Inter,0.02,,Blocked,25,Right Foot,Volley,Nicolò Barella,Pass (Live),Hakan Çalhanoğlu,Pass (Dead)
18,Nicolò Barella,Inter,0.32,0.36,Saved,11,Right Foot,Volley,Romelu Lukaku,Pass (Live),Nicolò Barella,Pass (Live)
20,Hakan Çalhanoğlu,Inter,0.01,,Off Target,28,Right Foot,,Lautaro Martínez,Pass (Live),Federico Dimarco,Fouled
41,Romelu Lukaku,Inter,0.16,,Off Target,6,Head,,Nicolò Barella,Pass (Live),Francesco Acerbi,Pass (Live)
45+6,Nicolò Barella,Inter,0.05,,Blocked,24,Left Foot,,Hakan Çalhanoğlu,Pass (Live),,
48,Federico Dimarco,Inter,0.05,,Blocked,11,Left Foot,Volley,Nicolò Barella,Pass (Live),Romelu Lukaku,Pass (Live)
48,Marcelo Brozović,Inter,0.11,,Off Target,14,Right Foot,Volley,Federico Dimarco,Shot,,
57,Hakan Çalhanoğlu,Inter,0.14,,Blocked,16,Right Foot,,Nicolò Barella,Pass (Live),Matteo Darmian,Pass (Live)
69,Marcelo Brozović,Inter,0.02,,Blocked,29,Right Foot,,Denzel Dumfries,Pass (Live),Henrikh Mkhitaryan,Pass (Live)
72,Hakan Çalhanoğlu,Inter,0.03,0.04,Saved,33,Right Foot,"Free kick, Deflected",Hakan Çalhanoğlu,Fouled,Marcelo Brozović,Pass (Live)
81,Lautaro Martínez,Inter,0.01,,Blocked,11,Head,,Hakan Çalhanoğlu,Pass (Dead),Denzel Dumfries,Pass (Dead)
86,Edin Džeko,Inter,0.07,,Off Target,13,Left Foot,Volley,Danilo D'Ambrosio,Pass (Live),Marcelo Brozović,Pass (Live)
86,Joaquín Correa,Inter,0.08,,Blocked,13,Right Foot,,Edin Džeko,Shot,,
86,Henrikh Mkhitaryan,Inter,0.03,,Off Target,26,Right Foot,,Marcelo Brozović,Pass (Live),Joaquín Correa,Shot
90,Hakan Çalhanoğlu,Inter,0.06,,Blocked,30,Right Foot,Free kick,Henrikh Mkhitaryan,Fouled,Marcelo Brozović,Pass (Live)
90+4,Henrikh Mkhitaryan,Inter,0.01,,Off Target,28,Left Foot,Volley,Francesco Acerbi,Pass (Live),Stefan de Vrij,Pass (Live)
90+5,Francesco Acerbi,Inter,0.06,,Off Target,11,Left Foot,,André Onana,Pass (Live),,
