player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Joaquín Correa,11,ARG,FW,28,68,0,0,0,0,1,0,0,0,32,1,0,1,0.1,0.1,0.2,4,0,25,29,86.2,4,24,2,2,2
Lautaro Martínez,10,ARG,FW,25,22,1,0,0,0,1,1,0,0,12,0,0,1,0.3,0.3,0.1,1,0,4,7,57.1,0,7,1,0,0
Romelu Lukaku,90,BEL,FW,29,90,2,1,0,0,4,2,0,0,25,0,0,0,0.2,0.2,0.3,4,2,16,21,76.2,4,21,6,3,3
Hakan Çalhanoğlu,20,TUR,CM,29,86,0,1,0,0,3,1,0,0,79,1,0,0,0.1,0.1,0.1,6,1,64,72,88.9,9,64,4,0,0
Kristjan Asllani,14,ALB,CM,21,4,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,4,0,0,0
Marcelo Brozović,77,CRO,CM,30,76,0,1,0,0,1,0,0,0,82,1,0,0,0.0,0.0,0.1,2,1,66,76,86.8,7,66,1,0,0
Nicolò Barella,23,ITA,CM,26,14,0,0,0,0,0,0,1,0,11,0,0,0,0.0,0.0,0.0,1,1,10,11,90.9,2,8,0,0,0
Roberto Gagliardini,5,ITA,CM,29,90,0,0,0,0,2,0,0,0,55,1,0,1,0.1,0.1,0.1,4,0,44,47,93.6,6,45,5,0,0
Robin Gosens,8,GER,WB,28,76,0,0,0,0,2,0,0,0,38,2,0,1,0.1,0.1,0.0,2,0,23,28,82.1,3,28,1,2,0
Federico Dimarco,32,ITA,WB,25,14,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,9,66.7,0,7,0,0,0
Raoul Bellanova,12,ITA,WB,22,68,0,0,0,0,0,0,0,0,75,2,0,2,0.0,0.0,0.1,2,0,52,64,81.3,4,55,8,2,1
Denzel Dumfries,2,NED,WB,27,22,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,1,6,2,1,0
Francesco Acerbi,15,ITA,CB,35,90,0,0,0,0,1,0,0,0,83,0,2,2,0.0,0.0,0.0,3,0,65,70,92.9,4,55,3,0,0
Stefan de Vrij,6,NED,CB,31,90,0,0,0,0,1,0,0,0,97,1,2,3,0.0,0.0,0.0,0,0,77,83,92.8,4,71,0,0,0
Danilo D'Ambrosio,33,ITA,CB,34,90,0,0,0,0,0,0,0,0,81,3,3,1,0.0,0.0,0.0,1,0,65,71,91.5,3,58,0,1,0
Samir Handanović,1,SVN,GK,38,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,40,41,97.6,0,33,0,0,0
