player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Joaquín Correa,11,ARG,FW,28,62,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,0,0,6,10,60.0,1,10,0,0,0
Edin Džeko,9,BIH,FW,36,28,0,0,0,0,0,0,0,0,19,0,0,2,0.0,0.0,0.5,3,2,10,13,76.9,4,7,0,0,0
Lautaro Martínez,10,ARG,FW,25,84,2,1,1,1,2,2,0,0,30,0,1,2,1.0,0.2,0.4,4,3,12,16,75.0,5,22,2,5,1
Raoul Bellanova,12,ITA,FW,22,6,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,2,1,0,0,0
Henrikh Mkhitaryan,22,ARM,CM,33,90,1,0,0,0,1,1,0,0,38,0,2,2,0.4,0.4,0.0,3,1,18,28,64.3,4,20,0,1,1
Hakan Çalhanoğlu,20,TUR,CM,28,90,0,0,0,0,0,0,0,0,50,2,2,2,0.0,0.0,0.0,0,0,29,40,72.5,0,17,0,0,0
Nicolò Barella,23,ITA,CM,25,90,1,0,0,0,2,2,1,0,48,1,1,3,0.9,0.9,0.0,1,0,21,33,63.6,2,33,2,2,1
Federico Dimarco,32,ITA,WB,24,66,0,0,0,0,1,1,0,0,32,2,0,0,0.1,0.1,0.1,2,0,17,29,58.6,0,18,1,0,0
Robin Gosens,8,GER,WB,28,24,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,8,8,100.0,3,7,1,0,0
Matteo Darmian,36,ITA,WB,32,66,0,0,0,0,0,0,0,0,51,3,1,1,0.0,0.0,0.0,0,0,28,42,66.7,0,22,1,1,0
Denzel Dumfries,2,NED,WB,26,24,0,0,0,0,0,0,1,0,15,1,0,1,0.0,0.0,0.0,1,1,5,10,50.0,0,3,0,0,0
Francesco Acerbi,15,ITA,CB,34,90,0,0,0,0,0,0,1,0,48,0,1,1,0.0,0.0,0.0,0,0,34,41,82.9,0,18,0,0,0
Stefan de Vrij,6,NED,CB,30,90,0,0,0,0,1,0,0,0,40,2,4,0,0.0,0.0,0.0,0,0,24,29,82.8,1,20,0,0,0
Milan Škriniar,37,SVK,CB,27,90,0,0,0,0,0,0,0,0,51,4,1,0,0.0,0.0,0.0,0,0,36,40,90.0,2,25,0,0,0
André Onana,24,CMR,GK,26,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,25,42,59.5,0,28,0,0,0
