player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Rasmus Højlund,17,DEN,FW,20,90,0,0,0,0,1,1,0,0,28,0,0,0,0.3,0.3,0.1,1,0,9,11,81.8,1,14,3,4,0
Éderson,13,BRA,AM,23,68,0,0,0,0,1,0,0,0,31,1,0,1,0.0,0.0,0.0,1,0,16,20,80.0,1,19,2,3,1
Luis Muriel,9,COL,CM,32,22,0,0,0,0,3,0,0,0,16,0,0,0,0.1,0.1,0.0,3,0,9,12,75.0,0,9,1,0,0
Teun Koopmeiners,7,NED,"AM,CM",25,90,0,0,0,0,2,1,0,0,40,0,1,0,0.1,0.1,0.2,6,0,24,33,72.7,6,18,2,3,1
Mario Pašalić,88,CRO,CM,28,60,1,0,0,0,1,1,0,0,33,0,0,1,0.1,0.1,0.3,2,0,23,28,82.1,3,13,3,1,0
Ademola Lookman,11,NGA,AM,25,30,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,1,0,5,8,62.5,0,10,2,2,0
Marten de Roon,15,NED,CM,32,90,0,0,0,0,0,0,0,0,67,4,1,1,0.0,0.0,0.0,2,0,50,56,89.3,4,33,1,1,1
Davide Zappacosta,77,ITA,WB,30,90,0,0,0,0,1,0,0,0,63,1,0,2,0.0,0.0,0.0,0,0,49,53,92.5,3,23,1,0,0
Joakim Mæhle,3,DEN,WB,26,85,0,0,0,0,0,0,0,0,56,2,1,0,0.0,0.0,0.2,2,0,36,50,72.0,4,27,2,1,0
Caleb Okoli,5,ITA,WB,21,5,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,1,4,0,0,0
Giorgio Scalvini,42,ITA,CB,19,90,0,1,0,0,2,0,0,0,78,1,2,3,0.3,0.3,0.1,1,0,56,67,83.6,8,44,1,3,2
Berat Djimsiti,19,ALB,CB,30,90,0,0,0,0,1,0,0,0,68,1,2,0,0.1,0.1,0.0,1,1,56,58,96.6,0,35,1,0,0
Rafael Tolói,2,ITA,CB,32,90,0,0,0,0,0,0,1,0,62,1,1,2,0.0,0.0,0.0,0,0,48,53,90.6,5,27,1,0,0
Marco Sportiello,57,ITA,GK,31,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,29,37,78.4,0,21,0,0,0
