player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Lautaro Martínez,10,ARG,FW,25,90,1,1,0,0,4,2,0,0,39,2,0,2,1.1,1.1,1.0,5,1,18,25,72.0,3,21,2,5,4
Romelu Lukaku,90,BEL,FW,30,80,1,0,0,0,2,2,0,0,39,0,0,0,0.9,0.9,0.0,7,2,20,25,80.0,3,21,4,3,1
Edin Džeko,9,BIH,FW,37,10,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,4,0,0,0
Hakan Çalhanoğlu,20,TUR,CM,29,90,0,0,0,0,2,1,0,0,63,1,0,3,0.1,0.1,0.1,3,0,45,54,83.3,2,21,0,0,0
Marcelo Brozović,77,CRO,CM,30,90,0,1,0,0,0,0,0,0,84,2,0,2,0.0,0.0,1.1,8,1,69,74,93.2,2,35,2,3,1
Nicolò Barella,23,ITA,CM,26,80,1,0,0,0,2,2,0,0,46,2,0,3,0.2,0.2,0.0,2,0,36,38,94.7,6,23,1,1,0
Kristjan Asllani,14,ALB,CM,21,10,0,0,0,0,1,0,0,0,7,0,0,0,0.1,0.1,0.0,0,0,6,6,100.0,1,9,1,0,0
Federico Dimarco,32,ITA,WB,25,69,0,0,0,0,5,3,0,0,43,1,0,0,0.2,0.2,0.0,3,1,26,36,72.2,0,15,2,0,0
Robin Gosens,8,GER,WB,28,21,0,0,0,0,1,0,0,0,13,0,1,1,0.1,0.1,0.1,1,0,7,9,77.8,0,4,3,1,0
Denzel Dumfries,2,NED,WB,27,90,0,0,0,0,0,0,0,0,52,2,0,1,0.0,0.0,0.0,1,0,26,41,63.4,1,29,1,3,0
Alessandro Bastoni,95,ITA,CB,24,80,0,0,0,0,0,0,0,0,69,2,0,2,0.0,0.0,0.0,1,0,53,59,89.8,2,40,1,1,1
Stefan de Vrij,6,NED,CB,31,10,0,0,0,0,0,0,0,0,4,0,1,1,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0
Francesco Acerbi,15,ITA,CB,35,90,0,0,0,0,2,0,0,0,56,3,5,0,0.2,0.2,0.0,0,0,33,39,84.6,0,18,1,0,0
Danilo D'Ambrosio,33,ITA,CB,34,82,0,0,0,0,1,1,0,0,55,2,0,2,0.0,0.0,0.0,2,0,43,47,91.5,2,25,0,0,0
Matteo Darmian,36,ITA,CB,33,8,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,3,0,0,0
André Onana,24,CMR,GK,27,90,0,0,0,0,0,0,0,0,60,0,0,0,0.0,0.0,0.0,1,0,48,57,84.2,0,43,0,0,0
