minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
3,Federico Dimarco,Inter,0.05,,Off Target,28,Left Foot,Free kick,Joaquín Correa,Fouled,Hakan Çalhanoğlu,Pass (Live)
12,Edin Džeko,Inter,0.18,0.41,Saved,14,Right Foot,,Nicolò Barella,Pass (Live),Federico Dimarco,Pass (Live)
12,Joaquín Correa,Inter,0.92,0.99,Goal,2,Right Foot,,Edin Džeko,Shot,,
17,Hakan Çalhanoğlu,Inter,0.05,,Off Target,13,Right Foot,Volley,Nicolò Barella,Pass (Live),Federico Dimarco,Pass (Live)
25,Federico Dimarco,Inter,0.03,,Off Target,29,Left Foot,,Nicolò Barella,Pass (Live),Federico Dimarco,Pass (Live)
28,Joaquín Correa,Inter,0.14,,Blocked,13,Right Foot,,Hakan Çalhanoğlu,Pass (Live),Edin Džeko,Pass (Live)
29,Stefan de Vrij,Inter,0.10,,Off Target,8,Head,,Hakan Çalhanoğlu,Pass (Dead),Joaquín Correa,Shot
38,Nicolò Barella,Inter,0.07,0.50,Goal,16,Right Foot,Volley,Hakan Çalhanoğlu,Pass (Live),Joaquín Correa,Pass (Live)
52,Edin Džeko,Inter,0.03,,Off Target,14,Left Foot,Volley,Matteo Darmian,Pass (Dead),Federico Dimarco,Pass (Live)
62,Edin Džeko,Inter,0.09,,Blocked,17,Left Foot,,Hakan Çalhanoğlu,Pass (Live),Stefan de Vrij,Pass (Live)
63,Stefan de Vrij,Inter,0.01,,Blocked,14,Head,,Federico Dimarco,Pass (Dead),Edin Džeko,Shot
68,Marcelo Brozović,Inter,0.08,0.18,Saved,15,Left Foot,,Hakan Çalhanoğlu,Pass (Live),Edin Džeko,Pass (Live)
73,Edin Džeko,Inter,0.23,0.49,Saved,3,Left Foot,,Denzel Dumfries,Pass (Live),Samir Handanović,Pass (Dead)
73,Denzel Dumfries,Inter,0.15,0.02,Saved,11,Left Foot,,Lautaro Martínez,Pass (Live),Edin Džeko,Shot
73,Lautaro Martínez,Inter,0.09,,Off Target,9,Right Foot,,Denzel Dumfries,Shot,,
76,Lautaro Martínez,Inter,0.17,0.86,Goal,18,Left Foot,,Nicolò Barella,Pass (Live),Edin Džeko,Pass (Live)
87,Edin Džeko,Inter,0.06,,Off Target,17,Right Foot,,Nicolò Barella,Pass (Live),Raoul Bellanova,Pass (Dead)
90+3,Edin Džeko,Inter,0.02,,Blocked,33,Right Foot,,Hakan Çalhanoğlu,Pass (Live),Nicolò Barella,Pass (Live)
