player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Lautaro Martínez,10,ARG,"FW,LW",25,90,0,0,0,0,3,0,0,0,29,0,0,2,0.4,0.4,0.0,3,0,13,18,72.2,3,17,2,1,0
Joaquín Correa,11,ARG,FW,28,45,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.1,1,0,11,12,91.7,0,12,0,0,0
Raoul Bellanova,12,ITA,"WB,RB",22,45,0,0,0,0,0,0,0,0,42,1,1,0,0.0,0.0,0.1,3,0,24,38,63.2,0,26,4,1,0
Henrikh Mkhitaryan,22,ARM,"CM,LM",34,75,0,0,0,0,1,0,0,0,50,1,2,2,0.0,0.0,0.2,2,0,34,38,89.5,7,30,1,0,0
Romelu Lukaku,90,BEL,RW,29,15,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0
Hakan Çalhanoğlu,20,TUR,"CM,RM",28,90,0,0,0,0,2,0,0,0,61,3,1,0,0.1,0.1,0.4,6,0,42,51,82.4,9,37,5,0,0
Nicolò Barella,23,ITA,CM,25,71,0,0,0,0,1,0,1,0,55,1,0,0,0.1,0.1,0.0,4,0,37,49,75.5,6,44,6,2,1
Kristjan Asllani,14,ALB,CM,20,19,0,0,0,0,1,0,0,0,21,1,0,0,0.1,0.1,0.2,3,0,15,18,83.3,0,14,0,0,0
Federico Dimarco,32,ITA,WB,25,70,0,0,0,0,2,1,0,0,53,2,1,2,0.1,0.1,0.2,2,0,33,44,75.0,2,28,2,0,0
Robin Gosens,8,GER,LB,28,20,0,0,0,0,2,0,0,0,18,1,0,0,0.2,0.2,0.0,1,0,7,12,58.3,1,8,0,0,0
Matteo Darmian,36,ITA,"WB,CB",33,71,0,0,0,0,0,0,0,0,49,5,1,3,0.0,0.0,0.0,2,0,32,38,84.2,3,19,1,2,0
Edin Džeko,9,BIH,FW,36,19,0,0,0,0,2,0,1,0,11,0,0,0,0.2,0.2,0.0,0,0,6,8,75.0,3,6,0,0,0
Alessandro Bastoni,95,ITA,CB,23,90,0,0,0,0,1,0,0,0,79,4,3,1,0.1,0.1,0.0,1,0,54,71,76.1,8,38,1,0,0
Stefan de Vrij,6,NED,CB,30,90,0,0,0,0,1,0,0,0,66,3,2,3,0.2,0.2,0.0,1,0,46,51,90.2,7,31,0,0,0
Milan Škriniar,37,SVK,CB,27,39,0,0,0,0,0,0,2,1,30,1,0,0,0.0,0.0,0.0,0,0,24,28,85.7,1,18,1,0,0
André Onana,24,CMR,GK,26,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,1,0,37,47,78.7,0,34,0,0,0
