player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Arthur,9,BRA,FW,24,90,0,0,0,0,5,1,0,0,32,0,0,2,0.3,0.3,0.0,5,1,8,18,44.4,1,16,1,1,0
Riccardo Saponara,8,ITA,LW,31,65,0,0,0,0,2,0,0,0,21,0,0,1,0.1,0.1,0.1,5,0,12,14,85.7,5,15,7,0,0
Riccardo Sottil,33,ITA,LW,23,25,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,2,5,40.0,0,3,1,0,0
Jonathan Ikone,11,FRA,RW,24,75,0,0,0,0,2,0,1,0,29,0,0,0,0.1,0.1,0.0,1,0,15,22,68.2,5,18,2,5,1
Luca Ranieri,16,ITA,RW,23,15,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,4,7,57.1,0,2,0,0,0
Gaetano Castrovilli,10,ITA,AM,26,65,0,0,0,0,2,1,1,0,26,1,1,1,0.1,0.1,0.0,1,0,12,16,75.0,3,13,1,2,2
Sofyan Amrabat,34,MAR,AM,26,25,0,0,0,0,0,0,1,0,17,2,0,0,0.0,0.0,0.0,0,0,12,14,85.7,2,8,0,0,0
Rolando Mandragora,38,ITA,DM,25,75,0,0,0,0,2,0,0,0,35,3,1,1,0.0,0.0,0.0,3,0,21,26,80.8,5,19,1,3,2
Antonín Barák,72,CZE,DM,28,15,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,2,0,11,12,91.7,1,8,1,1,1
Giacomo Bonaventura,5,ITA,DM,33,90,1,0,0,0,4,1,0,0,37,0,0,3,0.4,0.4,0.2,6,0,19,25,76.0,2,24,4,5,2
Cristiano Biraghi,3,ITA,LB,30,90,0,0,0,0,0,0,0,0,80,4,0,2,0.0,0.0,0.1,4,0,49,68,72.1,3,31,2,1,0
Igor,98,BRA,CB,25,90,0,0,0,0,0,0,0,0,51,0,2,0,0.0,0.0,0.0,0,0,28,36,77.8,3,20,1,0,0
Lucas Martínez Quarta,28,ARG,CB,26,45,0,0,0,0,1,0,0,0,30,1,0,0,0.0,0.0,0.0,3,0,20,23,87.0,1,18,1,0,0
Nikola Milenković,4,SRB,CB,25,45,0,0,0,0,0,0,0,0,17,0,0,2,0.0,0.0,0.0,0,0,8,10,80.0,2,3,0,0,0
Dodô,2,BRA,RB,24,90,0,0,0,0,1,0,0,0,57,0,2,3,0.0,0.0,0.1,3,0,34,40,85.0,3,30,1,2,0
Pietro Terracciano,1,ITA,GK,33,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,20,37,54.1,0,14,0,0,0
