player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Milan Đurić,19,BIH,FW,32,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,1,0,19,33,57.6,3,10,0,1,1
Darko Lazović,8,SRB,AM,32,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,13,27,48.1,2,12,1,3,1
Yayah Kallon,30,SLE,AM,21,56,0,0,0,0,0,0,0,0,20,0,1,0,0.0,0.0,0.0,1,0,8,15,53.3,0,14,3,1,0
Ibrahim Sulemana,77,GHA,"CM,AM",19,34,0,0,0,0,2,1,1,0,25,2,2,0,0.1,0.1,0.0,1,0,12,14,85.7,1,9,0,4,1
Adrien Tameze,61,CMR,CM,28,64,0,0,0,0,0,0,0,0,38,1,0,0,0.0,0.0,0.0,0,0,30,33,90.9,4,17,1,1,1
Miguel Veloso,4,POR,CM,36,26,0,0,0,0,0,0,0,0,18,0,0,1,0.0,0.0,0.0,0,0,11,15,73.3,0,7,1,1,0
Ivan Ilić,14,SRB,CM,21,64,0,0,0,0,1,0,0,0,39,0,0,1,0.0,0.0,0.0,0,0,24,30,80.0,2,18,3,2,1
Kevin Lasagna,11,ITA,AM,30,26,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.1,1,0,3,6,50.0,1,5,1,3,0
Josh Doig,3,SCO,WB,20,79,0,0,0,0,2,0,0,0,53,2,0,0,0.0,0.0,0.0,1,0,34,41,82.9,1,28,1,5,2
Roberto Piccoli,20,ITA,WB,21,11,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,2,0,0,0
Fabio Depaoli,29,ITA,WB,25,90,0,0,0,0,0,0,0,0,48,1,1,0,0.0,0.0,0.1,1,0,25,36,69.4,7,16,1,2,0
Federico Ceccherini,17,ITA,CB,30,90,0,0,0,0,0,0,0,0,59,2,0,1,0.0,0.0,0.0,2,0,39,49,79.6,9,26,2,0,0
Isak Hien,6,SWE,CB,24,90,0,0,0,0,0,0,1,0,59,1,0,1,0.0,0.0,0.0,2,0,44,52,84.6,8,28,0,1,0
Paweł Dawidowicz,27,POL,CB,27,65,0,0,0,0,0,0,1,0,43,3,2,0,0.0,0.0,0.0,2,0,28,35,80.0,2,17,1,0,0
Giangiacomo Magnani,23,ITA,CB,27,25,0,0,0,0,1,0,0,0,7,0,2,0,0.1,0.1,0.0,0,0,3,3,100.0,0,2,0,0,0
Lorenzo Montipò,1,ITA,GK,26,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,22,34,64.7,0,15,0,0,0
