player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Edin Džeko,9,BIH,FW,36,68,0,0,0,0,2,0,0,0,40,0,0,1,0.1,0.1,0.0,0,0,17,25,68.0,3,23,1,1,1
Joaquín Correa,11,ARG,FW,28,22,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,6,7,85.7,1,6,0,0,0
Lautaro Martínez,10,ARG,FW,25,88,1,0,0,0,3,2,0,0,42,1,0,1,0.2,0.2,0.0,2,0,19,27,70.4,2,23,0,1,1
Valentin Carboni,45,ARG,FW,17,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,1,0,0
Henrikh Mkhitaryan,22,ARM,CM,33,76,0,0,0,0,1,0,0,0,48,0,0,1,0.1,0.1,0.0,2,0,36,42,85.7,4,22,4,0,0
Nicolò Barella,23,ITA,CM,25,14,0,0,0,0,0,0,0,0,18,0,1,0,0.0,0.0,0.1,3,0,13,15,86.7,2,13,0,0,0
Hakan Çalhanoğlu,20,TUR,CM,28,68,0,0,0,0,0,0,0,0,64,1,0,0,0.0,0.0,0.0,2,0,51,60,85.0,0,39,0,0,0
Kristjan Asllani,14,ALB,CM,20,22,0,0,0,0,1,0,0,0,15,3,0,0,0.1,0.1,0.0,1,0,9,11,81.8,1,6,0,1,1
Roberto Gagliardini,5,ITA,CM,28,90,0,0,0,0,2,1,0,0,56,4,0,1,0.1,0.1,0.1,2,1,36,42,85.7,6,26,3,1,0
Federico Dimarco,32,ITA,WB,25,76,0,0,0,0,1,0,0,0,41,0,0,0,0.0,0.0,0.2,2,0,24,36,66.7,3,24,2,1,0
Robin Gosens,8,GER,WB,28,14,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,12,14,85.7,1,7,1,0,0
Matteo Darmian,36,ITA,WB,33,90,0,0,0,0,1,0,0,0,61,1,0,1,0.0,0.0,0.1,2,0,47,50,94.0,4,28,0,0,0
Alessandro Bastoni,95,ITA,CB,23,90,0,0,0,0,0,0,0,0,80,6,0,0,0.0,0.0,0.0,2,0,51,68,75.0,4,27,0,0,0
Francesco Acerbi,15,ITA,CB,34,90,0,0,0,0,0,0,0,0,53,2,0,1,0.0,0.0,0.0,0,0,37,42,88.1,1,23,1,0,0
Milan Škriniar,37,SVK,CB,27,90,0,0,0,0,0,0,0,0,70,1,0,1,0.0,0.0,0.0,0,0,53,60,88.3,2,38,0,0,0
André Onana,24,CMR,GK,26,90,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0,0,42,54,77.8,0,36,0,0,0
