player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Lautaro Martínez,10,ARG,FW,25,70,1,0,0,0,3,1,0,0,31,2,0,1,0.3,0.3,0.1,2,0,13,16,81.3,1,18,0,1,0
Romelu Lukaku,90,BEL,FW,29,20,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,2,3,0,0,0
Edin Džeko,9,BIH,FW,36,90,0,0,0,0,4,1,0,0,40,1,0,0,0.2,0.2,0.1,1,0,22,32,68.8,5,24,1,0,0
Henrikh Mkhitaryan,22,ARM,CM,34,70,1,0,0,0,1,1,0,0,44,0,1,0,0.1,0.1,0.0,3,0,31,36,86.1,5,25,2,2,2
Marcelo Brozović,77,CRO,CM,30,20,0,0,0,0,0,0,0,0,18,0,0,1,0.0,0.0,0.0,0,0,12,14,85.7,0,7,0,0,0
Hakan Çalhanoğlu,20,TUR,CM,29,77,0,0,0,0,3,1,0,0,79,1,1,2,0.1,0.1,0.1,7,0,60,73,82.2,7,37,1,1,1
Roberto Gagliardini,5,ITA,CM,28,13,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,2,0,0,0
Nicolò Barella,23,ITA,CM,26,90,0,1,0,0,0,0,0,0,60,1,0,0,0.0,0.0,0.1,4,3,43,52,82.7,7,39,1,3,3
Robin Gosens,8,GER,WB,28,89,0,0,0,0,0,0,0,0,58,3,2,1,0.0,0.0,0.0,2,0,35,47,74.5,2,24,4,2,1
Mattia Zanotti,46,ITA,WB,20,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.1,1,0,1,1,100.0,1,0,0,0,0
Denzel Dumfries,2,NED,WB,26,77,0,1,0,0,1,0,0,0,56,1,0,1,0.0,0.0,0.2,3,1,34,51,66.7,0,23,2,3,1
Danilo D'Ambrosio,33,ITA,WB,34,13,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,7,57.1,0,2,0,0,0
Alessandro Bastoni,95,ITA,CB,23,90,0,0,0,0,1,0,0,0,70,1,1,1,0.0,0.0,0.0,1,0,53,64,82.8,5,31,1,0,0
Francesco Acerbi,15,ITA,CB,35,90,0,0,0,0,1,0,0,0,72,2,3,3,0.1,0.1,0.0,0,0,54,60,90.0,3,30,1,0,0
Matteo Darmian,36,ITA,CB,33,90,0,0,0,0,0,0,0,0,85,6,1,1,0.0,0.0,0.0,0,0,68,78,87.2,2,34,0,1,0
André Onana,24,CMR,GK,26,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,35,43,81.4,0,30,0,0,0
