player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Joaquín Correa,11,ARG,FW,28,70,0,0,0,0,4,2,0,0,34,2,1,0,0.3,0.3,0.0,4,0,23,26,88.5,3,27,2,2,1
Lautaro Martínez,10,ARG,FW,25,20,0,0,0,0,6,2,0,0,11,0,0,0,0.8,0.8,0.0,1,0,2,4,50.0,1,6,0,0,0
Romelu Lukaku,90,BEL,FW,29,90,0,0,0,0,4,1,0,0,26,0,0,0,0.4,0.4,0.3,6,0,15,18,83.3,1,18,2,2,2
Henrikh Mkhitaryan,22,ARM,CM,34,70,0,0,0,0,1,0,1,0,45,3,0,0,0.0,0.0,0.0,5,0,30,34,88.2,5,30,0,3,0
Hakan Çalhanoğlu,20,TUR,CM,29,20,0,0,0,0,0,0,0,0,25,0,0,1,0.0,0.0,0.6,5,0,19,23,82.6,3,16,0,0,0
Kristjan Asllani,14,ALB,CM,21,70,0,0,0,0,2,0,0,0,53,0,3,0,0.1,0.1,0.1,2,0,44,48,91.7,6,38,0,0,0
Marcelo Brozović,77,CRO,CM,30,20,0,0,0,0,1,0,1,0,28,0,0,0,0.0,0.0,0.1,1,0,23,26,88.5,6,20,0,0,0
Nicolò Barella,23,ITA,CM,26,90,0,0,0,0,2,0,0,0,91,2,0,1,0.1,0.1,0.3,9,0,63,80,78.8,21,63,5,3,1
Robin Gosens,8,GER,WB,28,90,0,0,0,0,2,0,0,0,54,1,4,0,0.2,0.2,0.0,3,0,36,44,81.8,5,35,0,0,0
Denzel Dumfries,2,NED,WB,26,90,0,0,0,0,1,1,0,0,64,3,0,0,0.1,0.1,0.2,3,0,43,55,78.2,3,38,2,3,1
Alessandro Bastoni,95,ITA,CB,24,90,0,0,0,0,0,0,0,0,76,1,0,2,0.0,0.0,0.0,2,0,60,71,84.5,8,55,5,0,0
Stefan de Vrij,6,NED,CB,31,50,0,0,0,0,1,0,0,0,17,0,0,0,0.1,0.1,0.0,0,0,13,14,92.9,2,7,1,0,0
Francesco Acerbi,15,ITA,CB,35,40,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.3,4,0,27,33,81.8,4,21,3,0,0
Matteo Darmian,36,ITA,CB,33,80,0,0,0,0,0,0,0,0,62,0,0,3,0.0,0.0,0.0,0,0,50,59,84.7,9,49,7,1,1
Edin Džeko,9,BIH,CB,37,10,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,4,8,50.0,1,4,0,0,0
André Onana,24,CMR,GK,27,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,34,36,94.4,0,29,0,0,0
