player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Romelu Lukaku,90,BEL,FW,29,63,0,0,0,0,1,0,0,0,18,1,0,0,0.1,0.1,0.3,2,0,7,11,63.6,0,14,0,0,0
Lautaro Martínez,10,ARG,FW,25,27,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,1,7,0,0,0
Edin Džeko,9,BIH,FW,36,75,1,0,0,0,2,1,1,0,27,0,1,1,0.6,0.6,0.3,2,0,14,21,66.7,3,14,1,0,0
Joaquín Correa,11,ARG,FW,28,15,0,0,0,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,0,0,0,2,0.0,0,3,0,2,0
Henrikh Mkhitaryan,22,ARM,CM,33,82,0,0,0,0,0,0,0,0,34,0,2,2,0.0,0.0,0.0,1,1,20,27,74.1,5,21,3,1,1
Roberto Gagliardini,5,ITA,CM,28,8,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,2,0,0,0
Hakan Çalhanoğlu,20,TUR,CM,28,90,0,0,0,0,0,0,0,0,54,1,0,1,0.0,0.0,0.0,0,0,37,47,78.7,5,31,0,1,0
Nicolò Barella,23,ITA,CM,25,90,0,0,0,0,1,0,1,0,50,5,1,4,0.1,0.1,0.1,2,0,27,34,79.4,5,29,1,3,3
Federico Dimarco,32,ITA,WB,25,63,0,1,0,0,1,0,0,0,21,1,1,2,0.3,0.3,0.5,2,1,11,15,73.3,0,12,0,0,0
Robin Gosens,8,GER,WB,28,27,0,0,0,0,0,0,0,0,31,1,1,0,0.0,0.0,0.0,0,0,13,24,54.2,1,13,1,1,0
Matteo Darmian,36,ITA,WB,33,75,0,0,0,0,1,0,0,0,41,4,1,2,0.3,0.3,0.0,2,0,24,27,88.9,4,19,0,0,0
Denzel Dumfries,2,NED,WB,26,15,0,0,0,0,0,0,1,0,5,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0
Alessandro Bastoni,95,ITA,CB,23,90,0,0,0,0,0,0,0,0,56,1,3,2,0.0,0.0,0.0,1,0,32,42,76.2,2,30,1,0,0
Francesco Acerbi,15,ITA,CB,34,90,0,0,0,0,0,0,0,0,41,2,2,0,0.0,0.0,0.0,0,0,29,33,87.9,2,14,1,0,0
Milan Škriniar,37,SVK,CB,27,90,0,0,0,0,0,0,0,0,51,3,1,1,0.0,0.0,0.0,0,0,36,43,83.7,4,34,1,0,0
André Onana,24,CMR,GK,26,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,33,42,78.6,0,28,0,0,0
