player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Lorenzo Pellegrini,7,ITA,"FW,AM",26,80,0,1,0,0,1,0,0,0,38,2,1,0,0.1,0.1,0.2,4,1,23,29,79.3,4,25,1,0,0
Mohamed Camara,20,GUI,AM,25,10,0,0,0,0,2,0,0,0,4,0,0,0,0.1,0.1,0.0,0,0,1,1,100.0,0,2,1,0,0
Nicolò Zaniolo,22,ITA,AM,23,85,0,0,0,0,1,0,1,0,28,0,0,0,0.0,0.0,0.1,1,0,15,18,83.3,3,25,3,3,0
Andrea Belotti,11,ITA,AM,28,5,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.3,2,0,3,4,75.0,0,5,1,1,0
Paulo Dybala,21,ARG,AM,28,57,1,0,0,0,2,1,0,0,43,0,1,1,0.1,0.1,0.0,1,0,33,39,84.6,2,33,3,0,0
Tammy Abraham,9,ENG,FW,24,33,0,0,0,0,2,1,0,0,17,1,0,0,0.5,0.5,0.0,2,0,6,8,75.0,0,11,1,1,0
Nemanja Matić,8,SRB,CM,34,90,0,0,0,0,0,0,0,0,57,2,1,2,0.0,0.0,0.0,2,0,50,54,92.6,3,41,4,2,1
Bryan Cristante,4,ITA,CM,27,90,0,0,0,0,1,0,0,0,60,2,1,2,0.0,0.0,0.0,2,0,44,49,89.8,7,35,0,0,0
Leonardo Spinazzola,37,ITA,WB,29,90,0,1,0,0,0,0,0,0,54,1,1,0,0.0,0.0,0.1,1,1,38,47,80.9,2,32,2,1,1
Zeki Çelik,19,TUR,WB,25,90,0,0,0,0,0,0,0,0,43,0,2,2,0.0,0.0,0.2,3,0,24,36,66.7,0,18,0,0,0
Roger Ibanez,3,BRA,CB,23,90,0,0,0,0,0,0,0,0,68,3,0,1,0.0,0.0,0.0,0,0,51,58,87.9,3,47,0,0,0
Chris Smalling,6,ENG,CB,32,90,1,0,0,0,1,1,1,0,41,1,0,1,0.2,0.2,0.0,0,0,28,29,96.6,0,15,0,0,0
Gianluca Mancini,23,ITA,CB,26,90,0,0,0,0,0,0,1,0,43,1,4,1,0.0,0.0,0.0,1,1,26,34,76.5,1,30,1,0,0
Rui Patrício,1,POR,GK,34,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,18,25,72.0,0,12,0,0,0
