player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Lautaro Martínez,10,ARG,FW,25,90,1,0,0,0,5,2,0,0,31,1,0,2,0.8,0.8,0.0,1,0,15,19,78.9,1,23,4,2,0
Edin Džeko,9,BIH,FW,36,71,0,0,0,0,3,0,0,0,24,0,0,1,0.4,0.4,0.0,1,0,9,15,60.0,0,18,0,0,0
Joaquín Correa,11,ARG,FW,28,19,0,0,0,0,1,1,0,0,7,0,0,0,0.2,0.2,0.0,0,0,2,2,100.0,0,7,0,3,2
Henrikh Mkhitaryan,22,ARM,CM,33,71,0,0,0,0,0,0,0,0,39,2,0,1,0.0,0.0,0.1,2,0,28,32,87.5,3,27,2,3,3
Kristjan Asllani,14,ALB,CM,20,19,0,0,0,0,0,0,0,0,20,0,1,0,0.0,0.0,0.2,1,0,15,18,83.3,0,14,0,0,0
Hakan Çalhanoğlu,20,TUR,CM,28,88,0,1,0,0,1,0,0,0,82,1,2,0,0.1,0.1,0.6,6,1,67,77,87.0,10,61,1,1,0
Matteo Darmian,36,ITA,CM,32,2,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Nicolò Barella,23,ITA,CM,25,90,1,1,0,0,1,1,0,0,65,1,0,0,0.2,0.2,0.2,7,2,48,56,85.7,5,49,2,3,3
Federico Dimarco,32,ITA,WB,24,62,0,0,0,0,2,1,0,0,49,0,0,0,0.1,0.1,0.1,2,0,37,44,84.1,3,30,0,0,0
Robin Gosens,8,GER,WB,28,28,0,0,0,0,2,0,0,0,25,1,1,0,0.1,0.1,0.1,2,0,20,22,90.9,0,17,1,1,1
Denzel Dumfries,2,NED,WB,26,88,0,0,0,0,0,0,0,0,47,2,0,1,0.0,0.0,0.0,4,1,29,35,82.9,5,30,1,2,1
Raoul Bellanova,12,ITA,WB,22,2,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,3,0,1,1
Francesco Acerbi,15,ITA,CB,34,90,0,0,0,0,0,0,0,0,85,0,1,0,0.0,0.0,0.0,0,0,65,80,81.3,6,64,3,0,0
Stefan de Vrij,6,NED,CB,30,90,0,0,0,0,0,0,0,0,56,0,2,1,0.0,0.0,0.0,0,0,44,48,91.7,4,36,0,0,0
Milan Škriniar,37,SVK,CB,27,90,0,0,0,0,1,1,0,0,93,1,1,0,0.0,0.0,0.0,1,0,78,84,92.9,7,72,2,0,0
André Onana,24,CMR,GK,26,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,33,38,86.8,0,30,0,0,0
