player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Krzysztof Piątek,99,POL,FW,27,59,0,0,0,0,1,1,0,0,24,0,0,0,0.1,0.1,0.0,1,0,11,18,61.1,2,12,1,0,0
Federico Bonazzoli,9,ITA,FW,25,31,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,0,6,0,0,0
Boulaye Dia,29,SEN,FW,25,90,0,0,0,0,1,1,0,0,21,1,0,1,0.1,0.1,0.1,3,0,10,12,83.3,1,16,0,0,0
Grigoris Kastanos,20,CYP,CM,24,59,0,0,0,0,2,0,0,0,17,1,1,0,0.1,0.1,0.1,1,0,10,13,76.9,0,12,2,1,1
Diego Valencia,14,CHI,CM,22,31,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,2,4,50.0,0,1,0,0,0
Tonny Vilhena,10,NED,CM,27,75,0,0,0,0,0,0,0,0,29,1,1,1,0.0,0.0,0.0,0,0,22,25,88.0,1,11,1,0,0
Emil Bohinen,8,NOR,CM,23,15,0,0,0,0,1,0,0,0,8,0,1,0,0.0,0.0,0.0,0,0,2,4,50.0,0,3,0,0,0
Lassana Coulibaly,18,MLI,CM,26,90,0,0,0,0,0,0,0,0,34,1,0,0,0.0,0.0,0.0,3,0,23,26,88.5,4,21,3,2,2
Pasquale Mazzocchi,30,ITA,LB,27,80,0,0,0,0,0,0,0,0,42,0,0,1,0.0,0.0,0.0,0,0,26,34,76.5,1,17,0,2,1
Dylan Bronn,2,TUN,LB,27,10,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,3,0,0,0
Lorenzo Pirola,98,ITA,CB,20,80,0,0,0,0,0,0,0,0,39,3,2,2,0.0,0.0,0.0,0,0,25,30,83.3,4,20,2,0,0
Junior Sambia,6,FRA,CB,26,10,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,4,1,1,0
Flavius Daniliuc,5,AUT,CB,21,90,0,0,0,0,1,1,1,0,63,2,0,1,0.0,0.0,0.0,1,0,42,53,79.2,5,34,0,0,0
Norbert Gyömbér,23,SVK,CB,30,90,0,0,0,0,0,0,0,0,54,1,2,2,0.0,0.0,0.0,0,0,35,42,83.3,1,28,2,1,0
Antonio Candreva,87,ITA,RB,35,90,0,0,0,0,1,0,0,0,67,0,0,0,0.0,0.0,0.1,5,0,46,65,70.8,7,37,4,1,1
Luigi Sepe,33,ITA,GK,31,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,23,33,69.7,0,11,0,0,0
