minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
8,Edin Džeko,Inter,0.06,0.08,Saved,14,Left Foot,,Lautaro Martínez,Pass (Live),Milan Škriniar,Pass (Live)
14,Milan Škriniar,Inter,0.04,,Off Target,11,Head,,Hakan Çalhanoğlu,Pass (Dead),Alessandro Bastoni,Pass (Live)
21,Stefan de Vrij,Inter,0.04,0.28,Goal,12,Head,,Hakan Çalhanoğlu,Pass (Dead),Alessandro Bastoni,Pass (Live)
26,Henrikh Mkhitaryan,Inter,0.12,,Off Target,24,Right Foot,,Lautaro Martínez,Pass (Live),Denzel Dumfries,Pass (Live)
31,Federico Dimarco,Inter,0.04,,Off Target,13,Left Foot,,Henrikh Mkhitaryan,Pass (Live),Edin Džeko,Pass (Live)
33,Alessandro Bastoni,Inter,0.07,,Off Target,8,Head,,Hakan Çalhanoğlu,Pass (Dead),Nicolò Barella,Fouled
44,Nicolò Barella,Inter,0.37,0.24,Goal,18,Right Foot,,Alessandro Bastoni,Pass (Dead),Alessandro Bastoni,Fouled
50,Lautaro Martínez,Inter,0.20,,Off Target,6,Right Foot,,Federico Dimarco,Pass (Live),Alessandro Bastoni,Pass (Live)
50,Edin Džeko,Inter,0.16,0.39,Saved,8,Right Foot,,Henrikh Mkhitaryan,Pass (Live),Lautaro Martínez,Pass (Live)
51,Federico Dimarco,Inter,0.02,,Off Target,25,Left Foot,Volley,Hakan Çalhanoğlu,Pass (Dead),Edin Džeko,Shot
53,Hakan Çalhanoğlu,Inter,0.03,0.02,Saved,31,Right Foot,Free kick,Henrikh Mkhitaryan,Fouled,Edin Džeko,Pass (Live)
60,Milan Škriniar,Inter,0.27,,Off Target,9,Head,,Federico Dimarco,Pass (Dead),Alessandro Bastoni,Fouled
61,Lautaro Martínez,Inter,0.10,0.11,Saved,12,Right Foot,,,,,
73,Joaquín Correa,Inter,0.05,0.34,Goal,26,Right Foot,,,,,
80,Joaquín Correa,Inter,0.15,,Blocked,7,Head,,Federico Dimarco,Pass (Live),Hakan Çalhanoğlu,Pass (Live)
80,Henrikh Mkhitaryan,Inter,0.10,,Blocked,14,Left Foot,,Nicolò Barella,Pass (Live),Joaquín Correa,Shot
80,Joaquín Correa,Inter,0.29,0.07,Saved,9,Right Foot,,Henrikh Mkhitaryan,Shot,,
