player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Joaquín Correa,11,ARG,FW,28,45,0,0,0,0,1,0,0,0,17,0,0,0,0.2,0.2,0.1,1,0,9,13,69.2,3,8,0,1,0
Lautaro Martínez,10,ARG,FW,25,45,1,0,0,0,2,1,0,0,18,0,0,0,0.4,0.4,0.0,1,0,14,15,93.3,0,9,1,1,0
Romelu Lukaku,90,BEL,FW,30,90,2,0,0,0,5,2,0,0,36,1,0,0,0.5,0.5,0.0,1,0,17,23,73.9,2,20,2,1,1
Henrikh Mkhitaryan,22,ARM,CM,34,60,0,1,0,0,1,0,0,0,37,0,2,0,0.1,0.1,0.1,2,1,28,31,90.3,6,21,3,1,0
Kristjan Asllani,14,ALB,CM,21,30,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.1,1,0,12,15,80.0,1,9,0,1,0
Marcelo Brozović,77,CRO,CM,30,90,0,1,0,0,0,0,1,0,86,3,1,1,0.0,0.0,0.3,3,2,70,76,92.1,7,47,2,4,0
Roberto Gagliardini,5,ITA,CM,29,90,0,0,0,0,0,0,0,0,39,0,0,3,0.0,0.0,0.0,0,0,23,29,79.3,1,18,1,1,0
Federico Dimarco,32,ITA,WB,25,60,0,0,0,0,1,0,0,0,36,0,0,0,0.1,0.1,0.6,4,0,29,34,85.3,2,12,1,0,0
Robin Gosens,8,GER,WB,28,30,0,0,0,0,1,0,0,0,16,0,0,0,0.1,0.1,0.0,1,1,13,14,92.9,0,6,1,0,0
Raoul Bellanova,12,ITA,WB,22,78,0,0,0,0,0,0,0,0,49,2,0,2,0.0,0.0,0.0,0,0,35,43,81.4,3,26,3,2,2
Matteo Darmian,36,ITA,WB,33,12,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,0,3,0,0,0
Francesco Acerbi,15,ITA,CB,35,90,0,0,0,0,0,0,0,0,73,0,3,1,0.0,0.0,0.1,1,0,62,67,92.5,0,30,0,1,0
Stefan de Vrij,6,NED,CB,31,72,0,0,0,0,0,0,1,0,57,3,1,0,0.0,0.0,0.0,2,1,44,48,91.7,2,28,0,1,0
Alessandro Bastoni,95,ITA,CB,24,18,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,0,6,0,0,0
Danilo D'Ambrosio,33,ITA,CB,34,90,0,1,0,0,0,0,0,0,63,0,0,0,0.0,0.0,0.0,1,1,54,60,90.0,2,41,0,0,0
Samir Handanović,1,SVN,GK,38,90,0,0,0,0,0,0,0,0,59,0,0,0,0.0,0.0,0.0,1,0,47,56,83.9,0,35,0,0,0
