player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Lautaro Martínez,10,ARG,FW,24,74,1,0,0,0,4,2,0,0,27,2,1,1,0.5,0.5,0.3,4,0,10,13,76.9,2,15,1,2,0
Joaquín Correa,11,ARG,FW,28,16,1,0,0,0,1,1,0,0,5,1,0,0,0.4,0.4,0.0,1,0,2,3,66.7,0,3,1,0,0
Romelu Lukaku,90,BEL,FW,29,67,0,1,0,0,1,0,0,0,17,0,0,0,0.2,0.2,0.1,5,3,10,11,90.9,2,10,1,2,1
Edin Džeko,9,BIH,FW,36,23,0,1,0,0,1,1,0,0,10,0,0,0,0.1,0.1,0.4,3,2,4,6,66.7,1,7,1,2,1
Hakan Çalhanoğlu,20,TUR,CM,28,74,1,0,0,0,2,1,0,0,52,0,1,1,0.2,0.2,0.1,2,0,36,44,81.8,4,26,1,1,0
Roberto Gagliardini,5,ITA,CM,28,16,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,8,10,80.0,1,5,0,0,0
Marcelo Brozović,77,CRO,CM,29,83,0,0,0,0,2,0,0,0,58,1,3,4,0.0,0.0,0.1,4,0,40,47,85.1,4,32,0,1,1
Kristjan Asllani,14,ALB,CM,20,7,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,3,0,0,0
Nicolò Barella,23,ITA,CM,25,90,0,0,0,0,1,0,0,0,61,3,0,1,0.0,0.0,0.0,4,1,46,54,85.2,10,36,2,3,1
Federico Dimarco,32,ITA,WB,24,67,0,0,0,0,1,0,0,0,44,3,0,0,0.0,0.0,0.1,1,0,22,37,59.5,1,18,1,0,0
Robin Gosens,8,GER,WB,28,23,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,0,4,0,1,1
Denzel Dumfries,2,NED,WB,26,90,0,0,0,0,3,2,0,0,43,1,1,1,0.3,0.3,0.2,5,0,24,27,88.9,3,16,1,2,0
Alessandro Bastoni,95,ITA,CB,23,90,0,0,0,0,2,1,0,0,98,3,1,3,0.3,0.3,0.2,2,0,78,87,89.7,11,57,6,1,1
Stefan de Vrij,6,NED,CB,30,90,0,0,0,0,1,0,0,0,79,2,0,0,0.1,0.1,0.0,1,0,61,69,88.4,2,44,0,1,1
Milan Škriniar,37,SVK,CB,27,90,0,0,0,0,0,0,0,0,92,0,1,1,0.0,0.0,0.0,0,0,84,90,93.3,4,51,0,0,0
Samir Handanović,1,SVN,GK,38,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,39,40,97.5,0,23,0,0,0
