player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
M'Bala Nzola,18,ANG,FW,26,90,0,0,0,0,0,0,0,0,34,2,0,0,0.0,0.0,0.0,0,0,20,24,83.3,4,19,0,1,0
Kevin Agudelo,33,COL,"FW,CM",23,89,0,0,0,0,0,0,0,0,34,1,0,0,0.0,0.0,0.0,0,0,23,29,79.3,3,30,2,1,0
Mikael Ellertsson,28,ISL,CM,20,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0
Simone Bastoni,20,ITA,CM,25,78,0,0,0,0,0,0,0,0,41,1,0,1,0.0,0.0,0.1,1,0,28,36,77.8,1,22,2,1,1
Viktor Kovalenko,24,UKR,CM,26,12,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,6,0,0,0
Mehdi Bourabia,6,MAR,CM,31,90,0,0,0,0,0,0,0,0,61,2,2,2,0.0,0.0,0.0,0,0,41,50,82.0,0,42,2,1,0
Jacopo Sala,7,ITA,CM,30,66,0,0,0,0,0,0,0,0,39,1,1,0,0.0,0.0,0.0,0,0,25,34,73.5,4,23,2,1,0
Dávid Strelec,44,SVK,FW,21,24,0,0,0,0,1,0,0,0,11,0,0,0,0.4,0.4,0.0,0,0,4,6,66.7,0,7,1,1,0
Arkadiusz Reca,13,POL,WB,27,90,0,0,0,0,0,0,0,0,45,3,1,0,0.0,0.0,0.0,1,0,20,32,62.5,2,22,2,0,0
Emmanuel Gyasi,11,GHA,WB,28,89,0,0,0,0,0,0,0,0,37,1,0,2,0.0,0.0,0.0,0,0,22,28,78.6,1,21,0,1,0
Emil Holm,2,SWE,WB,22,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,0,0
Dimitris Nikolaou,43,GRE,CB,24,90,0,0,0,0,0,0,0,0,66,1,1,0,0.0,0.0,0.0,0,0,56,64,87.5,7,55,1,0,0
Jakub Kiwior,14,POL,CB,22,90,0,0,0,0,0,0,0,0,77,0,1,2,0.0,0.0,0.0,0,0,66,67,98.5,1,53,1,0,0
Mattia Caldara,29,ITA,CB,28,66,0,0,0,0,0,0,0,0,43,1,1,1,0.0,0.0,0.0,0,0,30,33,90.9,2,31,2,2,1
Petko Hristov,15,BUL,CB,23,24,0,0,0,0,1,0,0,0,27,1,0,0,0.1,0.1,0.0,1,0,16,21,76.2,1,17,0,1,0
Bartłomiej Drągowski,69,POL,GK,25,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,29,33,87.9,0,24,0,0,0
