player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Edin Džeko,9,BIH,FW,36,67,0,0,0,0,3,1,0,0,25,0,0,1,0.2,0.2,0.0,1,0,12,15,80.0,3,16,0,0,0
Joaquín Correa,11,ARG,FW,28,23,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.1,2,1,7,7,100.0,0,7,0,0,0
Lautaro Martínez,10,ARG,FW,25,90,0,0,0,0,5,0,0,0,46,2,0,3,0.3,0.3,0.1,5,0,22,30,73.3,3,23,2,4,3
Hakan Çalhanoğlu,20,TUR,CM,28,76,0,0,0,0,1,0,0,0,55,3,1,1,0.0,0.0,0.1,3,0,36,41,87.8,7,35,4,1,0
Henrikh Mkhitaryan,22,ARM,CM,33,14,0,0,0,0,1,0,0,0,16,0,0,0,0.0,0.0,0.0,1,0,12,14,85.7,2,11,2,0,0
Marcelo Brozović,77,CRO,CM,29,90,1,0,0,0,2,1,1,0,72,2,2,1,0.7,0.7,0.0,1,0,50,58,86.2,3,42,5,2,2
Nicolò Barella,23,ITA,CM,25,90,0,1,0,0,0,0,0,0,63,1,1,1,0.0,0.0,0.9,3,1,42,53,79.2,6,38,3,4,1
Matteo Darmian,36,ITA,WB,32,84,0,0,0,0,0,0,0,0,36,2,0,1,0.0,0.0,0.1,3,0,25,32,78.1,3,26,2,0,0
Robin Gosens,8,GER,WB,28,6,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,5,5,100.0,0,4,0,0,0
Denzel Dumfries,2,NED,WB,26,67,0,0,0,0,1,0,0,0,29,1,1,0,0.0,0.0,0.0,0,0,13,21,61.9,0,12,1,0,0
Alessandro Bastoni,95,ITA,CB,23,23,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,1,0,14,20,70.0,0,14,0,0,0
Federico Dimarco,32,ITA,"CB,WB",24,76,0,0,0,0,2,0,0,0,47,1,1,0,0.2,0.2,0.1,3,0,27,38,71.1,2,28,1,1,0
Raoul Bellanova,12,ITA,WB,22,14,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.0,0,0,12,18,66.7,1,11,1,1,0
Stefan de Vrij,6,NED,CB,30,90,0,0,0,0,0,0,0,0,71,0,3,0,0.0,0.0,0.0,0,0,53,63,84.1,3,43,0,0,0
Milan Škriniar,37,SVK,CB,27,90,0,0,0,0,1,1,0,0,87,2,0,3,0.1,0.1,0.0,0,0,75,81,92.6,3,66,0,0,0
Samir Handanović,1,SVN,GK,38,90,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0,0,35,44,79.5,0,29,0,0,0
