player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Antonio Sanabria,9,PAR,FW,26,89,0,0,0,0,1,1,1,0,32,0,0,0,0.1,0.1,0.1,2,0,18,25,72.0,0,15,0,2,2
Pietro Pellegri,11,ITA,FW,21,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0
Nikola Vlašić,16,CRO,AM,24,90,0,0,0,0,4,3,0,0,46,0,0,0,0.3,0.3,0.2,6,0,25,29,86.2,6,27,5,4,4
Demba Seck,23,SEN,AM,21,68,0,0,0,0,0,0,0,0,25,0,0,1,0.0,0.0,0.0,2,0,14,20,70.0,0,18,4,3,2
Nemanja Radonjić,49,SRB,AM,26,22,0,0,0,0,1,1,0,0,11,0,0,0,0.1,0.1,0.0,0,0,3,6,50.0,1,7,2,1,0
Karol Linetty,77,POL,CM,27,68,0,0,0,0,1,1,0,0,34,4,1,0,0.1,0.1,0.1,3,0,21,28,75.0,3,21,0,0,0
Emirhan İlkhan,14,TUR,CM,18,22,0,0,0,0,0,0,0,0,12,0,0,2,0.0,0.0,0.1,1,0,8,8,100.0,1,7,0,2,1
Saša Lukić,10,SRB,CM,26,90,0,0,0,0,0,0,1,0,45,1,2,2,0.0,0.0,0.0,0,0,27,33,81.8,2,21,2,0,0
Mërgim Vojvoda,27,KVX,"WB,CB",27,90,0,0,0,0,1,0,0,0,76,2,0,0,0.1,0.1,0.0,0,0,50,65,76.9,8,44,2,3,2
Valentino Lazaro,19,AUT,WB,26,89,0,0,0,0,0,0,0,0,42,0,0,1,0.0,0.0,0.0,0,0,24,36,66.7,2,20,0,3,0
Wilfried Singo,17,CIV,WB,21,1,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,1,0,1,0
Ricardo Rodríguez,13,SUI,CB,30,76,0,0,0,0,1,1,0,0,51,1,0,0,0.1,0.1,0.0,0,0,40,46,87.0,2,40,1,0,0
David Zima,6,CZE,WB,21,14,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,6,1,0,0
Alessandro Buongiorno,4,ITA,CB,23,90,0,0,0,0,0,0,0,0,46,1,5,2,0.0,0.0,0.1,2,0,26,31,83.9,6,20,1,1,0
Koffi Djidji,26,CIV,CB,29,90,0,0,0,0,0,0,0,0,41,4,4,1,0.0,0.0,0.0,0,0,24,31,77.4,2,18,0,0,0
Vanja Milinković-Savić,32,SRB,GK,25,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,1,0,20,43,46.5,0,25,0,0,0
