minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
5,Nicolò Barella,Inter,0.05,,Blocked,21,Right Foot,,Federico Dimarco,Pass (Live),Alessandro Bastoni,Pass (Live)
15,Edin Džeko,Inter,0.32,,Blocked,6,Right Foot,,Romelu Lukaku,Pass (Live),Nicolò Barella,Pass (Live)
16,Denzel Dumfries,Inter,0.07,,Off Target,11,Right Foot,,Edin Džeko,Shot,,
20,Romelu Lukaku (pen),Inter,0.79,1.00,Goal,13,Left Foot,,Denzel Dumfries,Fouled,Denzel Dumfries,Shot
45+2,Francesco Acerbi,Inter,0.05,0.16,Saved,12,Head,,Federico Dimarco,Pass (Dead),Henrikh Mkhitaryan,Fouled
48,Nicolò Barella,Inter,0.09,,Blocked,18,Right Foot,,Edin Džeko,Fouled,Alessandro Bastoni,Pass (Live)
53,Henrikh Mkhitaryan,Inter,0.05,,Blocked,28,Right Foot,,Nicolò Barella,Pass (Live),Denzel Dumfries,Pass (Live)
55,Denzel Dumfries,Inter,0.20,,Off Target,6,Head,,Henrikh Mkhitaryan,Pass (Live),Romelu Lukaku,Pass (Live)
57,Denzel Dumfries,Inter,0.03,,Off Target,15,Right Foot,Volley,Francesco Acerbi,Pass (Live),Marcelo Brozović,Pass (Dead)
65,Henrikh Mkhitaryan,Inter,0.04,0.03,Saved,16,Left Foot,,Federico Dimarco,Pass (Live),Henrikh Mkhitaryan,Pass (Live)
68,Lautaro Martínez,Inter,0.06,,Blocked,8,Head,,Federico Dimarco,Pass (Live),Alessandro Bastoni,Pass (Live)
68,Hakan Çalhanoğlu,Inter,0.03,,Blocked,27,Right Foot,,Denzel Dumfries,Pass (Live),Lautaro Martínez,Shot
69,Federico Dimarco,Inter,0.04,,Blocked,24,Right Foot,Volley,Hakan Çalhanoğlu,Shot,,
71,Lautaro Martínez,Inter,0.05,0.28,Saved,23,Right Foot,,Hakan Çalhanoğlu,Pass (Live),Henrikh Mkhitaryan,Pass (Live)
72,Edin Džeko,Inter,0.24,0.31,Saved,13,Left Foot,,Henrikh Mkhitaryan,Pass (Live),Henrikh Mkhitaryan,Tackle
73,Henrikh Mkhitaryan,Inter,0.08,0.17,Goal,19,Right Foot,Volley,Federico Dimarco,Pass (Live),Hakan Çalhanoğlu,Pass (Live)
76,Hakan Çalhanoğlu,Inter,0.04,,Blocked,26,Right Foot,,Lautaro Martínez,Pass (Live),Federico Dimarco,Pass (Live)
88,Lautaro Martínez,Inter,0.60,,Off Target,21,Right Foot,,Nicolò Barella,Pass (Live),,
89,Lautaro Martínez,Inter,0.19,0.71,Goal,17,Right Foot,,Danilo D'Ambrosio,Pass (Live),Samir Handanović,Pass (Live)
