player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Ciro Immobile,17,ITA,FW,32,90,0,1,0,0,4,3,0,0,28,1,0,0,0.5,0.5,0.1,3,1,17,20,85.0,0,13,4,1,1
Mattia Zaccagni,20,ITA,LW,27,56,0,0,0,0,2,1,1,0,19,0,0,2,0.1,0.1,0.0,1,0,11,13,84.6,1,14,2,0,0
Pedro,9,ESP,LW,35,34,1,1,0,0,1,1,0,0,31,1,0,1,0.1,0.1,0.2,2,1,21,25,84.0,2,14,2,3,1
Felipe Anderson,7,BRA,RW,29,83,1,0,0,0,2,1,0,0,40,1,0,1,0.4,0.4,0.2,2,0,27,34,79.4,3,18,3,3,2
Matteo Cancellieri,11,ITA,RW,20,7,0,0,0,0,1,0,0,0,5,0,0,0,0.1,0.1,0.0,0,0,1,3,33.3,0,4,1,0,0
Matías Vecino,5,URU,LM,31,56,0,0,0,0,0,0,0,0,35,1,1,0,0.0,0.0,0.0,2,1,28,35,80.0,2,18,1,0,0
Luis Alberto,10,ESP,LM,29,34,1,0,0,0,1,1,0,0,29,0,0,1,0.1,0.1,0.1,2,1,24,27,88.9,2,18,1,1,0
Danilo Cataldi,32,ITA,CM,28,83,0,0,0,0,0,0,0,0,72,4,1,0,0.0,0.0,0.1,2,0,55,64,85.9,4,32,0,1,1
Marcos Antônio,6,BRA,CM,22,7,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,8,8,100.0,0,4,0,0,0
Sergej Milinković-Savić,21,SRB,RM,27,90,0,1,0,0,0,0,0,0,66,4,2,3,0.0,0.0,0.3,4,2,36,47,76.6,8,30,0,6,2
Adam Marušić,77,MNE,LB,29,90,0,0,0,0,0,0,1,0,73,0,1,1,0.0,0.0,0.1,2,0,55,64,85.9,2,41,4,0,0
Alessio Romagnoli,13,ITA,CB,27,90,0,0,0,0,0,0,0,0,67,2,1,1,0.0,0.0,0.0,0,0,50,52,96.2,0,23,0,0,0
Patric,4,ESP,CB,29,90,0,0,0,0,0,0,0,0,64,0,0,1,0.0,0.0,0.0,0,0,54,59,91.5,0,31,0,1,1
Manuel Lazzari,29,ITA,RB,28,70,0,0,0,0,0,0,0,0,31,1,1,1,0.0,0.0,0.1,1,0,25,27,92.6,1,19,3,0,0
Elseid Hysaj,23,ALB,RB,28,20,0,0,0,0,0,0,0,0,14,2,0,0,0.0,0.0,0.0,0,0,13,13,100.0,2,7,0,0,0
Ivan Provedel,94,ITA,GK,28,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,31,37,83.8,0,22,0,0,0
