player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Victor Osimhen,9,NGA,FW,24,68,0,0,0,0,3,1,0,0,15,1,0,0,0.2,0.2,0.0,2,0,8,8,100.0,0,12,0,2,1
Giovanni Simeone,18,ARG,FW,27,22,0,1,0,0,1,0,0,0,10,0,0,0,0.1,0.1,0.4,1,1,4,4,100.0,0,5,0,2,0
Khvicha Kvaratskhelia,77,GEO,LW,22,82,0,0,0,0,2,2,0,0,82,1,0,1,0.1,0.1,0.1,4,0,63,70,90.0,4,75,9,12,6
Matteo Politano,21,ITA,RW,29,8,0,0,0,0,1,1,0,0,6,0,0,0,0.0,0.0,0.0,1,0,2,4,50.0,0,6,1,0,0
Elif Elmas,7,MKD,RW,23,69,0,0,0,0,1,0,1,0,64,2,0,0,0.0,0.0,0.0,3,1,55,59,93.2,3,49,2,1,1
Giacomo Raspadori,81,ITA,"RW,LW",23,21,0,0,0,0,2,1,0,0,26,0,0,0,0.1,0.1,0.0,1,0,17,21,81.0,4,20,2,2,2
Piotr Zieliński,20,POL,LM,29,82,0,1,0,0,3,0,0,0,104,0,0,1,0.2,0.2,0.4,9,1,87,95,91.6,7,76,2,4,1
Gianluca Gaetano,70,ITA,LM,23,8,1,0,0,0,1,1,0,0,15,1,1,0,0.4,0.4,0.0,1,1,10,13,76.9,0,8,3,0,0
Stanislav Lobotka,68,SVK,CM,28,90,0,0,0,0,0,0,0,0,96,4,0,0,0.0,0.0,0.0,1,1,86,91,94.5,3,79,1,1,1
Andre-Frank Zambo Anguissa,99,CMR,RM,27,90,1,1,0,0,5,1,0,0,112,0,1,0,0.3,0.3,0.0,5,1,88,99,88.9,5,84,2,2,1
Mathías Olivera,17,URU,LB,25,90,0,0,0,0,0,0,0,0,106,0,0,0,0.0,0.0,0.0,0,0,97,105,92.4,3,76,2,0,0
Kim Min-jae,3,KOR,CB,26,73,0,0,0,0,0,0,0,0,80,2,1,1,0.0,0.0,0.0,0,0,69,71,97.2,6,52,1,0,0
Juan Jesus,5,BRA,CB,31,17,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,1,0,16,17,94.1,0,10,0,0,0
Amir Rrahmani,13,KVX,CB,29,90,0,0,0,0,0,0,0,0,99,1,1,1,0.0,0.0,0.0,0,0,89,93,95.7,7,72,1,0,0
Giovanni Di Lorenzo,22,ITA,RB,29,90,1,0,0,0,3,2,0,0,106,2,1,1,0.2,0.2,0.1,7,0,87,99,87.9,4,90,3,1,0
Alex Meret,1,ITA,GK,26,90,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,19,22,86.4,0,17,0,0,0
