player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Lautaro Martínez,10,ARG,FW,25,90,0,0,0,0,6,2,1,0,48,2,1,2,0.6,0.6,0.0,4,0,21,27,77.8,3,31,3,6,0
Romelu Lukaku,90,BEL,FW,29,65,0,0,0,0,2,1,0,0,28,0,0,0,0.1,0.1,0.3,5,0,15,22,68.2,3,17,3,1,0
Edin Džeko,9,BIH,FW,36,25,0,0,0,0,1,0,0,0,15,0,0,0,0.1,0.1,0.0,2,0,8,12,66.7,1,8,0,1,1
Henrikh Mkhitaryan,22,ARM,CM,34,89,0,0,0,0,2,0,0,0,63,1,1,2,0.1,0.1,0.1,3,0,45,51,88.2,10,38,3,0,0
Valentin Carboni,45,ARG,CM,17,1,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,2,0,4,4,100.0,1,2,0,0,0
Hakan Çalhanoğlu,20,TUR,CM,29,90,0,0,0,0,4,1,0,0,89,0,1,0,0.2,0.2,0.1,6,0,72,81,88.9,13,58,1,1,0
Nicolò Barella,23,ITA,CM,26,65,0,0,0,0,0,0,0,0,78,1,0,2,0.0,0.0,0.2,7,0,57,67,85.1,11,57,2,3,2
Marcelo Brozović,77,CRO,CM,30,25,0,0,0,0,0,0,0,0,35,0,1,0,0.0,0.0,0.0,1,0,30,33,90.9,6,28,0,0,0
Robin Gosens,8,GER,WB,28,45,0,0,0,0,1,0,0,0,45,1,1,1,0.0,0.0,0.0,1,0,31,39,79.5,4,25,1,1,1
Federico Dimarco,32,ITA,WB,25,45,0,0,0,0,3,0,0,0,45,2,0,0,0.2,0.2,0.1,3,0,27,39,69.2,4,23,1,1,1
Matteo Darmian,36,ITA,WB,33,65,0,0,0,0,2,0,0,0,41,1,0,1,0.1,0.1,0.2,3,0,31,34,91.2,2,22,3,3,2
Denzel Dumfries,2,NED,WB,26,25,0,0,0,0,1,0,0,0,19,0,0,0,0.1,0.1,0.0,0,0,14,17,82.4,0,15,1,2,1
Francesco Acerbi,15,ITA,CB,35,90,0,0,0,0,1,1,0,0,91,2,2,1,0.0,0.0,0.3,4,0,69,80,86.3,8,43,1,0,0
Stefan de Vrij,6,NED,CB,31,90,0,0,0,0,1,0,0,0,89,1,3,0,0.1,0.1,0.2,3,0,66,73,90.4,2,39,1,0,0
Milan Škriniar,37,SVK,CB,28,90,0,0,0,0,1,0,0,0,115,0,2,1,0.0,0.0,0.0,2,0,97,106,91.5,8,57,0,0,0
André Onana,24,CMR,GK,26,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,42,44,95.5,0,29,0,0,0
