player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Edin Džeko,9,BIH,FW,36,90,2,0,0,0,5,3,0,0,46,1,0,2,1.1,1.1,0.1,4,0,19,27,70.4,4,19,1,1,0
Lautaro Martínez,10,ARG,FW,25,90,0,0,0,0,5,1,0,0,25,0,0,0,0.9,0.9,0.0,1,0,15,20,75.0,1,11,0,0,0
Hakan Çalhanoğlu,20,TUR,CM,28,90,0,0,0,0,2,0,0,0,63,2,0,1,0.0,0.0,0.2,3,0,50,56,89.3,6,29,3,1,0
Kristjan Asllani,14,ALB,CM,20,45,0,0,0,0,1,0,1,0,29,0,0,0,0.0,0.0,0.0,2,0,23,27,85.2,2,20,0,0,0
Henrikh Mkhitaryan,22,ARM,CM,33,45,0,1,0,0,0,0,0,0,33,2,0,1,0.0,0.0,0.4,2,1,25,29,86.2,1,19,0,1,1
Nicolò Barella,23,ITA,CM,25,83,0,0,0,0,0,0,0,0,32,3,0,2,0.0,0.0,0.0,0,0,16,23,69.6,4,20,4,1,1
Roberto Gagliardini,5,ITA,CM,28,7,0,0,0,0,1,0,0,0,2,0,0,0,0.1,0.1,0.0,0,0,1,1,100.0,1,1,0,0,0
Federico Dimarco,32,ITA,WB,24,67,0,0,0,0,1,0,0,0,37,0,2,2,0.1,0.1,0.3,5,0,25,33,75.8,6,24,3,0,0
Matteo Darmian,36,ITA,WB,32,23,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.1,2,1,14,15,93.3,0,7,1,0,0
Denzel Dumfries,2,NED,WB,26,90,0,1,0,0,1,0,0,0,50,1,0,1,0.2,0.2,1.1,6,1,26,42,61.9,2,29,3,1,1
Alessandro Bastoni,95,ITA,CB,23,90,0,0,0,0,0,0,0,0,74,1,0,1,0.0,0.0,0.1,3,0,66,70,94.3,3,47,2,1,1
Francesco Acerbi,15,ITA,CB,34,90,0,0,0,0,0,0,0,0,67,3,1,3,0.0,0.0,0.0,0,0,52,54,96.3,3,35,0,0,0
Danilo D'Ambrosio,33,ITA,CB,34,57,0,0,0,0,0,0,1,0,41,2,1,1,0.0,0.0,0.0,2,0,29,31,93.5,2,25,2,0,0
Milan Škriniar,37,SVK,CB,27,33,0,0,0,0,0,0,0,0,26,1,1,1,0.0,0.0,0.0,0,0,21,22,95.5,3,13,0,0,0
André Onana,24,CMR,GK,26,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,30,39,76.9,0,22,0,0,0
