player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Lautaro Martínez,10,ARG,FW,25,90,0,0,0,0,3,1,0,0,32,0,1,1,0.5,0.5,0.0,2,1,16,22,72.7,3,10,0,3,1
Edin Džeko,9,BIH,FW,36,66,0,0,0,0,3,0,0,0,26,0,1,0,0.1,0.1,0.1,2,0,10,14,71.4,0,14,0,3,1
Joaquín Correa,11,ARG,FW,28,24,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,1,4,25.0,0,3,0,3,1
Henrikh Mkhitaryan,22,ARM,CM,33,30,0,0,0,0,0,0,1,0,13,1,0,2,0.0,0.0,0.0,0,0,6,9,66.7,2,5,0,1,0
Roberto Gagliardini,5,ITA,CM,28,60,0,0,0,0,1,0,0,0,27,3,0,3,0.0,0.0,0.0,0,0,8,15,53.3,1,7,0,0,0
Marcelo Brozović,77,CRO,CM,29,90,0,0,0,0,1,1,1,0,66,3,1,3,0.0,0.0,0.0,1,0,38,52,73.1,2,31,1,3,2
Nicolò Barella,23,ITA,CM,25,90,1,0,0,0,1,1,0,0,58,2,0,1,0.1,0.1,0.0,5,0,30,43,69.8,5,37,4,2,1
Matteo Darmian,36,ITA,WB,32,66,0,0,0,0,0,0,1,0,35,1,0,2,0.0,0.0,0.0,2,1,22,29,75.9,2,15,0,3,0
Danilo D'Ambrosio,33,ITA,"CB,WB",34,24,0,0,0,0,0,0,0,0,22,2,1,2,0.0,0.0,0.0,0,0,12,16,75.0,4,13,0,0,0
Denzel Dumfries,2,NED,WB,26,90,0,0,0,0,2,0,0,0,43,0,0,1,0.2,0.2,0.3,4,0,27,36,75.0,4,20,3,2,0
Alessandro Bastoni,95,ITA,CB,23,30,0,0,0,0,1,1,1,0,20,0,1,0,0.0,0.0,0.0,1,0,12,16,75.0,2,12,1,0,0
Federico Dimarco,32,ITA,"CB,WB",24,60,0,0,0,0,3,0,0,0,56,0,0,1,0.1,0.1,0.3,5,0,36,47,76.6,5,29,1,0,0
Francesco Acerbi,15,ITA,CB,34,78,0,0,0,0,0,0,0,0,66,2,1,0,0.0,0.0,0.0,1,0,52,61,85.2,5,42,0,1,0
Stefan de Vrij,6,NED,CB,30,12,0,0,0,0,0,0,0,0,10,2,0,0,0.0,0.0,0.0,0,0,5,7,71.4,2,4,0,0,0
Milan Škriniar,37,SVK,CB,27,90,0,0,0,0,1,0,0,0,75,0,0,1,0.0,0.0,0.0,1,0,63,70,90.0,4,49,2,0,0
Samir Handanović,1,SVN,GK,38,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,26,30,86.7,0,21,0,0,0
