player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Gerard Deulofeu,10,ESP,FW,28,90,0,2,0,0,5,1,0,0,58,0,1,1,0.4,0.4,0.8,9,2,36,46,78.3,5,41,10,7,2
Beto,9,GNB,FW,24,67,0,0,0,0,0,0,0,0,18,3,0,0,0.0,0.0,0.0,0,0,2,10,20.0,0,9,0,0,0
Isaac Success,7,NGA,FW,26,23,0,0,0,0,1,0,0,0,13,0,0,1,0.0,0.0,0.0,2,0,3,5,60.0,0,8,0,2,0
Jean-Victor Makengo,6,FRA,CM,24,60,0,0,0,0,0,0,0,0,29,4,3,0,0.0,0.0,0.0,0,0,18,20,90.0,1,21,4,2,2
Lazar Samardzic,24,SRB,CM,20,30,0,0,0,0,2,0,0,0,15,0,0,0,0.1,0.1,0.0,4,1,9,11,81.8,0,8,1,1,1
Walace,11,BRA,CM,27,90,0,0,0,0,3,1,0,0,50,1,0,0,0.1,0.1,0.0,1,0,26,37,70.3,2,25,2,1,0
Sandi Lovrić,4,SVN,CM,24,78,0,0,0,0,4,2,0,0,31,1,0,0,0.2,0.2,0.3,3,0,16,20,80.0,2,21,1,1,1
Tolgay Arslan,5,GER,CM,32,12,1,0,0,0,1,1,0,0,6,1,1,0,0.3,0.3,0.0,0,0,2,4,50.0,0,4,0,0,0
Iyenoma Udogie,13,ITA,WB,19,78,0,0,0,0,0,0,1,0,34,2,2,0,0.0,0.0,0.1,3,0,22,24,91.7,4,25,2,2,1
Enzo Ebosse,23,CMR,WB,23,12,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,1,0,0,0
Roberto Pereyra,37,ARG,WB,31,67,0,0,0,0,1,0,1,0,38,0,0,0,0.1,0.1,0.0,1,0,20,29,69.0,2,22,2,1,0
Kingsley Ehizibue,19,NED,WB,27,23,0,0,0,0,1,0,0,0,16,1,1,0,0.1,0.1,0.0,1,1,6,10,60.0,0,5,0,1,0
Nehuén Pérez,18,ARG,CB,22,90,0,0,0,0,0,0,0,0,45,1,2,2,0.0,0.0,0.0,3,0,30,35,85.7,0,27,1,0,0
Jaka Bijol,29,SVN,CB,23,90,1,0,0,0,1,1,0,0,39,2,1,0,0.1,0.1,0.0,0,0,19,25,76.0,2,16,0,0,0
Rodrigo Becão,50,BRA,CB,26,90,0,0,0,0,1,0,1,0,74,5,0,1,0.3,0.3,0.0,1,0,43,61,70.5,2,34,1,0,0
Marco Silvestri,1,ITA,GK,31,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,1,0,20,34,58.8,0,18,0,0,0
