minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
3,Rodri,Manchester City,0.07,0.06,Saved,13,Right Foot,Volley,İlkay Gündoğan,Pass (Live),İlkay Gündoğan,Take-On
3,Rúben Dias,Manchester City,0.13,,Blocked,9,Left Foot,Volley,Rodri,Shot,,
3,Rodri,Manchester City,0.08,,Blocked,18,Left Foot,,Rúben Dias,Shot,,
4,Jack Grealish,Manchester City,0.06,,Off Target,21,Right Foot,,Jack Grealish,Take-On,Nathan Aké,Pass (Live)
19,Erling Haaland,Manchester City,0.07,,Blocked,23,Left Foot,,Rodri,Pass (Live),Rodri,Take-On
26,Manuel Akanji,Manchester City,0.02,,Off Target,29,Right Foot,,John Stones,Pass (Live),İlkay Gündoğan,Pass (Live)
28,Erling Haaland,Manchester City,0.21,,Off Target,8,Left Foot,,Nathan Aké,Pass (Live),Bernardo Silva,Pass (Live)
32,Erling Haaland,Manchester City,0.03,,Blocked,17,Left Foot,,Phil Foden,Pass (Live),,
57,Phil Foden,Manchester City,0.16,0.69,Saved,21,Left Foot,Free kick,Jack Grealish,Fouled,Manuel Akanji,Pass (Live)
59,Rodri,Manchester City,0.05,,Blocked,25,Right Foot,,Rodri,Pass (Live),,
60,Julián Álvarez,Manchester City,0.25,,Off Target,15,Right Foot,,Julián Álvarez,Take-On,Bernardo Silva,Pass (Live)
68,Julián Álvarez,Manchester City,0.02,0.20,Saved,25,Right Foot,,İlkay Gündoğan,Pass (Live),Julián Álvarez,Pass (Live)
78,Erling Haaland (pen),Manchester City,0.79,0.99,Goal,13,Left Foot,,İlkay Gündoğan,Fouled,Jack Grealish,Pass (Dead)
83,Erling Haaland,Manchester City,0.16,,Off Target,10,Head,,Jack Grealish,Pass (Live),Kevin De Bruyne,Pass (Live)
