minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
1,Erling Haaland,Manchester City,0.03,0.06,Saved,21,Left Foot,Volley,Nathan Aké,Pass (Live),Manuel Akanji,Pass (Live)
4,Erling Haaland,Manchester City,0.05,,Off Target,14,Left Foot,Volley,Riyad Mahrez,Pass (Dead),Riyad Mahrez,Fouled
7,Kevin De Bruyne,Manchester City,0.07,,Off Target,21,Right Foot,,Rico Lewis,Pass (Live),Riyad Mahrez,Pass (Live)
15,İlkay Gündoğan,Manchester City,0.19,,Off Target,9,Head,,Kevin De Bruyne,Pass (Live),Riyad Mahrez,Pass (Live)
20,İlkay Gündoğan,Manchester City,0.02,,Off Target,34,Right Foot,,Riyad Mahrez,Pass (Dead),Rico Lewis,Fouled
29,Jack Grealish,Manchester City,0.02,,Blocked,14,Left Foot,,İlkay Gündoğan,Pass (Live),Rodri,Pass (Live)
31,Erling Haaland,Manchester City,0.27,0.15,Saved,19,Left Foot,,Kevin De Bruyne,Pass (Live),İlkay Gündoğan,Pass (Live)
32,Erling Haaland,Manchester City,0.08,,Off Target,12,Head,,Riyad Mahrez,Pass (Live),Rodri,Pass (Live)
32,Jack Grealish,Manchester City,0.30,,Off Target,6,Right Foot,Volley,Erling Haaland,Shot,,
35,İlkay Gündoğan,Manchester City,0.16,0.21,Saved,12,Right Foot,,Riyad Mahrez,Pass (Live),Rico Lewis,Pass (Live)
37,Jack Grealish,Manchester City,0.07,,Blocked,12,Right Foot,,Kevin De Bruyne,Pass (Live),Rodri,Pass (Live)
40,Jack Grealish,Manchester City,0.10,,Off Target,15,Right Foot,,Kevin De Bruyne,Pass (Dead),Riyad Mahrez,Fouled
43,Riyad Mahrez,Manchester City,0.17,,Off Target,8,Left Foot,,Jack Grealish,Pass (Live),Kevin De Bruyne,Pass (Live)
45,Jack Grealish,Manchester City,0.18,,Off Target,12,Right Foot,,Rico Lewis,Pass (Live),Kevin De Bruyne,Pass (Live)
45+1,Riyad Mahrez,Manchester City,0.13,0.05,Saved,16,Left Foot,,Rodri,Pass (Live),Kevin De Bruyne,Pass (Live)
45+1,Rodri,Manchester City,0.56,0.66,Goal,10,Right Foot,,Riyad Mahrez,Shot,,
47,Kevin De Bruyne,Manchester City,0.29,,Off Target,47,Right Foot,,Rodri,Pass (Live),,
51,Erling Haaland,Manchester City,0.68,0.74,Goal,13,Left Foot,,Jack Grealish,Pass (Live),Jack Grealish,Interception
60,İlkay Gündoğan,Manchester City,0.09,,Blocked,14,Left Foot,,Erling Haaland,Pass (Live),Kevin De Bruyne,Pass (Live)
64,Erling Haaland,Manchester City,0.18,0.34,Goal,13,Right Foot,,Jack Grealish,Pass (Live),Erling Haaland,Pass (Live)
75,Kevin De Bruyne,Manchester City,0.05,0.07,Saved,21,Right Foot,,Riyad Mahrez,Pass (Live),Kevin De Bruyne,Pass (Live)
78,Erling Haaland,Manchester City,0.49,0.54,Saved,17,Right Foot,,Rodri,Pass (Live),İlkay Gündoğan,Pass (Live)
88,Rodri,Manchester City,0.02,,Off Target,12,Head,,Kevin De Bruyne,Pass (Dead),Nathan Aké,Pass (Dead)
88,John Stones,Manchester City,0.05,,Off Target,14,Right Foot,,Rodri,Shot,,
90+2,João Cancelo,Manchester City,0.10,,Blocked,14,Left Foot,Deflected,Cole Palmer,Pass (Live),Cole Palmer,Take-On
90+2,Erling Haaland,Manchester City,0.12,,Blocked,15,Right Foot,,João Cancelo,Shot,,
