player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Ollie Watkins,11,ENG,FW,27,90,1,0,0,0,1,1,0,0,16,0,1,0,0.1,0.1,0.2,5,0,8,11,72.7,2,4,2,0,0
Leon Bailey,31,JAM,FW,25,59,0,0,0,0,2,0,0,0,15,0,0,0,0.1,0.1,0.0,0,0,5,8,62.5,0,9,0,3,1
Álex Moreno,15,ESP,LB,29,31,0,0,0,0,0,0,0,0,19,0,1,0,0.0,0.0,0.0,1,0,12,14,85.7,1,8,1,3,3
Emi Buendía,10,ARG,LM,26,59,0,0,0,0,0,0,0,0,17,0,2,1,0.0,0.0,0.0,0,0,12,14,85.7,1,11,1,0,0
John McGinn,7,SCO,"RM,LM",28,31,0,0,0,0,0,0,0,0,15,0,1,1,0.0,0.0,0.0,0,0,9,13,69.2,1,8,0,1,1
Douglas Luiz,6,BRA,CM,24,90,0,1,0,0,0,0,0,0,46,2,2,0,0.0,0.0,0.1,4,2,34,42,81.0,3,21,1,0,0
Boubacar Kamara,44,FRA,CM,23,90,0,0,0,0,0,0,0,0,43,0,1,4,0.0,0.0,0.0,0,0,32,36,88.9,1,21,0,0,0
Jacob Ramsey,41,ENG,RM,21,75,0,0,0,0,0,0,0,0,17,2,0,1,0.0,0.0,0.0,0,0,6,7,85.7,1,8,2,1,0
Matty Cash,2,POL,RB,25,15,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,8,10,80.0,0,6,0,0,0
Lucas Digne,27,FRA,LB,29,59,0,0,0,0,0,0,1,0,20,1,1,0,0.0,0.0,0.0,1,0,14,18,77.8,3,13,1,1,1
Jhon Durán,22,COL,FW,19,31,0,0,0,0,2,0,0,0,10,0,1,0,0.0,0.0,0.0,0,0,3,6,50.0,1,7,0,0,0
Calum Chambers,16,ENG,CB,28,90,0,0,0,0,0,0,0,0,44,0,3,1,0.0,0.0,0.0,0,0,29,38,76.3,0,27,0,0,0
Ezri Konsa,4,ENG,CB,25,90,0,0,0,0,0,0,1,0,39,0,1,3,0.0,0.0,0.0,0,0,31,33,93.9,0,17,0,1,1
Ashley Young,18,ENG,RB,37,75,0,0,0,0,0,0,0,0,31,1,1,0,0.0,0.0,0.0,0,0,18,25,72.0,0,11,0,1,0
Philippe Coutinho,23,BRA,LM,30,15,0,0,0,0,1,1,0,0,16,1,1,1,0.0,0.0,0.0,0,0,7,9,77.8,3,8,0,3,2
Emiliano Martínez,1,ARG,GK,30,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,1,0,34,45,75.6,0,26,0,0,0
