player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Erling Haaland,9,NOR,FW,22,68,3,0,0,0,4,3,0,0,15,1,0,0,1.6,1.6,0.0,1,1,6,11,54.5,1,6,0,0,0
Kevin De Bruyne,17,BEL,AM,31,22,0,0,0,0,1,1,0,0,26,1,0,1,0.2,0.2,0.1,2,0,19,23,82.6,1,18,2,1,0
Phil Foden,47,ENG,LW,22,54,0,1,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.1,4,2,19,27,70.4,0,23,0,2,0
Cole Palmer,80,ENG,LW,20,36,0,0,0,0,0,0,0,0,24,1,0,0,0.0,0.0,0.0,1,0,14,18,77.8,3,13,2,3,1
Bernardo Silva,20,POR,"RW,DM",28,90,0,1,0,0,1,1,0,0,58,1,0,1,0.1,0.1,0.0,2,1,48,51,94.1,5,33,1,4,2
Julián Álvarez,19,ARG,"AM,FW",22,90,2,0,0,0,5,3,0,0,39,3,0,1,0.7,0.7,0.3,4,0,23,27,85.2,3,15,1,1,1
Rodri,16,ESP,DM,26,54,0,0,0,0,1,0,0,0,82,0,1,0,0.1,0.1,0.2,2,0,78,80,97.5,5,46,1,0,0
Riyad Mahrez,26,ALG,RW,31,36,0,0,0,0,2,0,0,0,32,0,1,0,0.5,0.5,0.1,3,1,23,27,85.2,0,18,3,1,1
İlkay Gündoğan,8,GER,DM,31,90,0,0,0,0,2,0,0,0,125,2,0,1,0.0,0.0,0.6,8,3,108,117,92.3,13,70,1,2,0
João Cancelo,7,POR,LB,28,67,1,0,0,0,1,1,0,0,83,0,0,0,0.0,0.0,0.0,1,0,58,75,77.3,7,49,6,4,0
Sergio Gómez,21,ESP,LB,21,23,0,0,0,0,0,0,0,0,24,1,0,1,0.0,0.0,0.0,0,0,18,23,78.3,3,9,0,0,0
Rúben Dias,3,POR,CB,25,90,0,0,0,0,0,0,0,0,97,1,0,0,0.0,0.0,0.0,0,0,89,98,90.8,5,49,2,0,0
John Stones,5,ENG,CB,28,74,0,1,0,0,0,0,0,0,86,0,0,0,0.0,0.0,0.4,1,1,81,84,96.4,5,59,2,2,2
Rico Lewis,82,ENG,RB,17,16,0,0,0,0,0,0,0,0,17,1,1,0,0.0,0.0,0.0,0,0,13,14,92.9,1,10,2,1,0
Kyle Walker,2,ENG,"RB,CB",32,90,0,0,0,0,0,0,0,0,126,1,2,0,0.0,0.0,0.0,0,0,113,121,93.4,11,66,3,0,0
Ederson,31,BRA,GK,29,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,1,0,31,35,88.6,0,24,0,0,0
