player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Morgan Gibbs-White,10,ENG,FW,22,57,0,0,0,0,1,1,0,0,14,1,0,1,0.0,0.0,0.0,1,0,5,9,55.6,1,9,3,2,1
Emmanuel Dennis,25,NGA,FW,24,33,0,0,0,0,2,0,1,0,14,1,0,0,0.1,0.1,0.0,0,0,6,8,75.0,0,10,1,2,0
Brennan Johnson,20,WAL,FW,21,57,0,0,0,0,1,0,0,0,6,0,0,0,0.1,0.1,0.0,0,0,4,4,100.0,0,4,2,0,0
Taiwo Awoniyi,9,NGA,FW,25,33,0,0,0,0,1,0,0,0,13,1,0,0,0.2,0.2,0.0,2,0,7,9,77.8,0,10,1,1,0
Lewis O'Brien,14,ENG,CM,23,90,0,0,0,0,0,0,0,0,21,1,1,1,0.0,0.0,0.1,4,0,10,15,66.7,6,14,0,3,1
Remo Freuler,23,SUI,CM,30,90,0,0,0,0,1,0,0,0,34,1,2,1,0.0,0.0,0.0,1,0,23,26,88.5,0,20,0,1,0
Ryan Yates,22,ENG,CM,24,68,0,0,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.0,0,0,11,17,64.7,2,8,0,2,2
Jack Colback,8,ENG,CM,32,22,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.2,1,0,4,4,100.0,0,3,1,0,0
Renan Lodi,32,BRA,LB,24,68,0,0,0,0,1,0,0,0,20,0,2,0,0.2,0.2,0.0,0,0,7,12,58.3,0,8,0,2,1
Harry Toffolo,15,ENG,LB,27,22,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,6,7,85.7,1,5,1,0,0
Scott McKenna,26,SCO,CB,25,90,0,0,0,0,0,0,0,0,36,2,2,2,0.0,0.0,0.0,0,0,18,25,72.0,1,12,0,0,0
Cheikhou Kouyaté,21,SEN,CB,32,78,0,0,0,0,0,0,0,0,28,0,0,1,0.0,0.0,0.0,0,0,19,23,82.6,0,19,0,0,0
Giulian Biancone,2,FRA,CB,22,12,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,1,0,15,16,93.8,0,7,0,0,0
Joe Worrall,4,ENG,CB,25,90,0,0,0,0,0,0,0,0,52,1,1,1,0.0,0.0,0.0,1,0,33,40,82.5,0,18,0,1,1
Neco Williams,7,WAL,RB,21,90,0,0,0,0,0,0,0,0,41,5,6,1,0.0,0.0,0.3,3,0,19,28,67.9,2,25,0,2,0
Dean Henderson,1,ENG,GK,25,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,1,0,25,44,56.8,0,28,0,0,0
