minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
19,Erling Haaland,Manchester City,0.12,0.04,Saved,12,Left Foot,,Kevin De Bruyne,Pass (Live),Jack Grealish,Pass (Live)
23,Jack Grealish,Manchester City,0.38,,Off Target,2,Right Foot,Volley,Rico Lewis,Pass (Live),Riyad Mahrez,Pass (Live)
29,Jack Grealish,Manchester City,0.04,0.10,Saved,27,Right Foot,,İlkay Gündoğan,Pass (Live),Rodri,Pass (Live)
30,İlkay Gündoğan,Manchester City,0.11,,Off Target,9,Head,,Rico Lewis,Pass (Live),Riyad Mahrez,Pass (Live)
33,Rodri,Manchester City,0.04,,Off Target,28,Right Foot,,Jack Grealish,Pass (Live),Manuel Akanji,Pass (Live)
40,Erling Haaland,Manchester City,0.15,0.67,Goal,8,Head,,Kevin De Bruyne,Pass (Live),Riyad Mahrez,Pass (Live)
45+1,Jack Grealish,Manchester City,0.10,,Blocked,17,Right Foot,,İlkay Gündoğan,Pass (Live),Kevin De Bruyne,Pass (Live)
50,Erling Haaland (pen),Manchester City,0.79,0.95,Goal,13,Left Foot,,İlkay Gündoğan,Fouled,Nathan Aké,Pass (Live)
52,Riyad Mahrez,Manchester City,0.14,,Off Target,5,Head,,Jack Grealish,Pass (Live),Riyad Mahrez,Pass (Live)
54,Erling Haaland,Manchester City,0.32,0.77,Goal,10,Left Foot,,Riyad Mahrez,Pass (Live),Riyad Mahrez,Interception
73,Julián Álvarez,Manchester City,0.20,0.08,Saved,15,Right Foot,,Kevin De Bruyne,Pass (Live),Kevin De Bruyne,Take-On
80,Kalvin Phillips,Manchester City,0.04,,Blocked,28,Right Foot,,Riyad Mahrez,Pass (Live),Bernardo Silva,Pass (Live)
80,İlkay Gündoğan,Manchester City,0.33,,Off Target,3,Head,,Bernardo Silva,Pass (Live),Kalvin Phillips,Shot
