player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Michail Antonio,9,JAM,FW,32,56,0,0,0,0,2,0,0,0,9,0,0,0,0.2,0.2,0.0,2,0,2,4,50.0,1,8,0,1,0
Gianluca Scamacca,7,ITA,FW,23,34,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,1,2,0,0,0
Pablo Fornals,8,ESP,"LW,FW,RW",26,89,0,0,0,0,0,0,0,0,30,0,2,1,0.0,0.0,0.1,3,0,18,24,75.0,1,14,1,1,0
Conor Coventry,32,IRL,"CM,FW",22,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Jarrod Bowen,20,ENG,"RW,RM,AM",25,89,0,0,0,0,1,0,0,0,23,0,2,2,0.2,0.2,0.0,1,0,5,11,45.5,2,10,1,3,0
Flynn Downes,12,ENG,RM,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Manuel Lanzini,10,ARG,"AM,LW",29,56,0,0,0,0,1,0,0,0,20,0,0,0,0.0,0.0,0.0,1,0,14,16,87.5,2,6,0,0,0
Saïd Benrahma,22,ALG,"LM,LW",26,34,0,0,0,0,1,1,0,0,14,0,0,0,0.1,0.1,0.0,0,0,7,10,70.0,1,10,1,1,0
Declan Rice,41,ENG,"DM,CM",23,90,0,0,0,0,1,0,0,0,46,7,0,1,0.1,0.1,0.0,0,0,33,37,89.2,5,21,2,0,0
Tomáš Souček,28,CZE,"DM,CM",27,90,0,0,0,0,0,0,0,0,28,1,1,0,0.0,0.0,0.0,2,0,16,23,69.6,3,9,1,0,0
Aaron Cresswell,3,ENG,LB,32,90,0,0,0,0,0,0,0,0,35,1,2,1,0.0,0.0,0.1,1,0,21,27,77.8,1,10,0,0,0
Kurt Zouma,4,FRA,CB,27,90,0,0,0,0,0,0,0,0,40,1,1,1,0.0,0.0,0.0,0,0,28,33,84.8,0,13,0,0,0
Ben Johnson,2,ENG,CB,22,90,0,0,0,0,0,0,0,0,45,0,0,2,0.0,0.0,0.0,0,0,28,36,77.8,3,24,0,1,1
Vladimír Coufal,5,CZE,RB,29,90,0,0,0,0,0,0,0,0,39,4,3,0,0.0,0.0,0.1,1,0,20,30,66.7,3,10,0,0,0
Łukasz Fabiański,1,POL,GK,37,28,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,5,9,55.6,0,8,0,0,0
Alphonse Areola,13,FRA,GK,29,62,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,20,28,71.4,0,15,0,0,0
