player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Erling Haaland,9,NOR,FW,22,90,1,0,0,0,2,2,0,0,22,0,0,0,0.1,0.1,0.0,2,1,10,15,66.7,2,17,4,2,1
Jack Grealish,10,ENG,"LW,LM",27,76,1,0,0,0,2,1,0,0,45,2,1,0,0.4,0.4,0.1,6,1,31,34,91.2,4,36,4,5,4
Cole Palmer,80,ENG,LM,20,14,0,0,0,0,1,0,0,0,12,1,0,0,0.0,0.0,0.0,1,0,8,9,88.9,0,10,2,1,0
Phil Foden,47,ENG,RW,22,71,1,0,0,0,3,1,0,0,39,1,0,1,0.3,0.3,0.0,3,1,23,29,79.3,4,27,1,1,0
Riyad Mahrez,26,ALG,RM,31,19,0,0,0,0,1,0,0,0,24,0,0,0,0.0,0.0,0.0,1,0,16,20,80.0,4,18,0,3,1
Bernardo Silva,20,POR,LM,28,70,0,1,0,0,0,0,0,0,63,1,1,0,0.0,0.0,0.1,4,1,51,57,89.5,3,47,1,1,0
Julián Álvarez,19,ARG,FW,22,20,0,0,0,0,1,1,0,0,13,1,0,1,0.0,0.0,0.0,0,0,7,10,70.0,3,11,2,0,0
Rodri,16,ESP,CM,26,80,0,0,0,0,1,1,1,0,69,2,3,1,0.0,0.0,0.0,1,0,57,60,95.0,7,45,2,0,0
Sergio Gómez,21,ESP,LB,22,10,0,0,0,0,0,0,0,0,16,0,1,1,0.0,0.0,0.0,0,0,11,13,84.6,1,13,1,0,0
Kevin De Bruyne,17,BEL,RM,31,71,0,2,0,0,2,0,0,0,50,1,1,0,0.0,0.0,0.5,5,2,32,41,78.0,6,39,3,0,0
İlkay Gündoğan,8,GER,CM,31,19,0,0,0,0,0,0,0,0,16,0,1,1,0.0,0.0,0.0,0,0,10,13,76.9,2,9,0,0,0
João Cancelo,7,POR,"LB,RB",28,90,0,0,0,0,2,0,0,0,97,5,2,0,0.1,0.1,0.1,4,0,74,84,88.1,6,60,7,6,4
Rúben Dias,3,POR,CB,25,90,0,0,0,0,0,0,0,0,94,0,3,1,0.0,0.0,0.0,0,0,81,86,94.2,1,69,0,1,1
Manuel Akanji,25,SUI,CB,27,90,0,0,0,0,0,0,0,0,96,3,1,1,0.0,0.0,0.0,2,0,88,91,96.7,4,79,0,0,0
John Stones,5,ENG,"RB,CM",28,90,0,0,0,0,1,1,0,0,69,2,1,2,0.0,0.0,0.0,1,0,57,61,93.4,3,43,1,0,0
Ederson,31,BRA,GK,29,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,30,32,93.8,0,23,0,0,0
