player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Duván Zapata,91,COL,FW,31,72,0,0,0,0,1,0,0,0,29,0,0,1,0.1,0.1,0.0,2,0,15,22,68.2,2,16,0,1,0
Luis Muriel,9,COL,FW,31,18,0,0,0,0,0,0,0,0,11,1,0,1,0.0,0.0,0.0,0,0,4,7,57.1,0,2,0,0,0
Mario Pašalić,88,CRO,AM,27,72,0,0,0,0,3,1,0,0,31,0,2,0,0.1,0.1,0.1,3,1,18,24,75.0,2,21,1,0,0
Giorgio Scalvini,42,ITA,"CM,AM",18,18,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,4,8,50.0,1,5,0,0,0
Ruslan Malinovskyi,18,UKR,AM,29,72,1,0,0,0,5,1,0,0,43,1,0,1,0.2,0.2,0.2,4,0,24,33,72.7,5,34,4,0,0
Ademola Lookman,11,NGA,"FW,AM",24,18,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,1,8,2,1,1
Teun Koopmeiners,7,NED,"CM,AM",24,90,0,0,0,0,0,0,0,0,45,2,1,0,0.0,0.0,0.0,3,0,31,38,81.6,5,26,2,0,0
Marten de Roon,15,NED,CM,31,90,0,0,0,0,0,0,1,0,37,3,1,1,0.0,0.0,0.0,1,0,24,30,80.0,1,21,0,0,0
Joakim Mæhle,3,DEN,WB,25,88,0,1,0,0,1,0,0,0,63,1,0,1,0.1,0.1,0.1,6,1,41,48,85.4,2,41,1,3,0
Nadir Zortea,21,ITA,WB,23,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0
Hans Hateboer,33,NED,WB,28,90,0,0,0,0,1,0,1,0,47,2,0,2,0.1,0.1,0.0,2,0,33,38,86.8,2,30,0,0,0
Berat Djimsiti,19,ALB,CB,29,81,0,0,0,0,0,0,1,0,42,2,1,0,0.0,0.0,0.0,0,0,26,34,76.5,2,28,0,0,0
Caleb Okoli,5,ITA,CB,21,9,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,2,0,0,0
Merih Demiral,28,TUR,CB,24,90,0,0,0,0,0,0,0,0,24,2,1,1,0.0,0.0,0.0,0,0,14,16,87.5,0,12,0,1,0
Rafael Tolói,2,ITA,CB,31,90,0,0,0,0,0,0,1,0,43,0,1,1,0.0,0.0,0.0,1,0,31,37,83.8,1,31,0,1,0
Juan Musso,1,ARG,GK,28,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,33,42,78.6,0,29,0,0,0
