player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Ante Rebić,12,CRO,FW,28,57,0,0,0,0,0,0,1,0,15,0,0,0,0.0,0.0,0.0,4,0,5,11,45.5,2,12,0,1,1
Olivier Giroud,9,FRA,FW,35,33,0,0,0,0,1,1,0,0,9,1,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,4,0,0,0
Rafael Leão,17,POR,LW,23,65,0,0,0,0,4,2,0,0,30,0,0,0,0.2,0.2,0.0,4,0,12,17,70.6,3,24,6,6,2
Divock Origi,27,BEL,LW,27,25,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,4,4,100.0,0,6,0,3,2
Junior Messias,30,BRA,RW,31,65,0,0,0,0,2,0,0,0,29,0,1,0,0.2,0.2,0.0,0,0,18,22,81.8,2,18,3,1,0
Alexis Saelemaekers,56,BEL,RW,23,25,0,1,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.1,2,1,8,14,57.1,1,8,1,1,0
Brahim Díaz,10,ESP,AM,23,57,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.1,2,0,16,19,84.2,3,14,1,1,0
Charles De Ketelaere,90,BEL,AM,21,33,0,0,0,0,0,0,0,0,14,1,0,1,0.0,0.0,0.1,1,0,6,9,66.7,1,6,0,0,0
Sandro Tonali,8,ITA,DM,22,90,0,0,0,0,2,1,1,0,66,2,0,0,0.1,0.1,0.1,3,0,46,58,79.3,7,43,3,0,0
Ismaël Bennacer,4,ALG,DM,24,90,1,0,0,0,2,2,0,0,97,0,2,0,0.1,0.1,0.7,11,1,77,90,85.6,9,65,5,4,2
Theo Hernández,19,FRA,LB,24,90,0,0,0,0,4,1,1,0,75,1,1,0,0.1,0.1,0.1,3,0,55,66,83.3,9,54,11,1,1
Fikayo Tomori,23,ENG,CB,24,90,0,0,0,0,0,0,0,0,81,1,0,0,0.0,0.0,0.0,1,0,72,76,94.7,4,51,1,0,0
Pierre Kalulu,20,FRA,CB,22,90,0,0,0,0,2,0,0,0,68,1,1,2,0.5,0.5,0.0,0,0,56,58,96.6,3,44,0,1,0
Davide Calabria,2,ITA,RB,25,83,0,0,0,0,1,0,0,0,82,2,2,2,0.0,0.0,0.0,3,0,62,75,82.7,7,54,3,1,1
Alessandro Florenzi,25,ITA,RB,31,7,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,6,9,66.7,1,6,0,0,0
Mike Maignan,16,FRA,GK,27,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,35,38,92.1,0,28,0,0,0
