player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Lautaro Martínez,10,ARG,FW,25,90,1,0,0,0,5,3,0,0,42,2,3,0,0.4,0.4,0.1,2,0,18,30,60.0,2,20,3,3,2
Edin Džeko,9,BIH,FW,36,70,0,0,0,0,1,0,0,0,29,0,0,0,0.0,0.0,0.2,2,0,21,25,84.0,3,19,1,0,0
Romelu Lukaku,90,BEL,FW,29,20,0,0,0,0,1,1,0,0,15,0,0,0,0.0,0.0,0.1,2,0,4,10,40.0,0,8,0,0,0
Henrikh Mkhitaryan,22,ARM,CM,34,70,0,0,0,0,0,0,1,0,56,4,0,0,0.0,0.0,0.1,3,0,46,51,90.2,3,33,1,0,0
Marcelo Brozović,77,CRO,CM,30,20,0,0,0,0,1,0,0,0,15,0,0,0,0.1,0.1,0.0,1,0,9,10,90.0,0,7,0,0,0
Hakan Çalhanoğlu,20,TUR,CM,28,88,0,1,0,0,2,0,0,0,74,0,0,0,0.1,0.1,0.3,7,1,55,70,78.6,7,49,1,3,3
Roberto Gagliardini,5,ITA,CM,28,2,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,1,2,1,1,0
Nicolò Barella,23,ITA,CM,25,89,0,0,0,0,1,0,0,0,81,0,0,0,0.1,0.1,0.0,2,0,66,75,88.0,2,61,3,3,3
Kristjan Asllani,14,ALB,CM,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Federico Dimarco,32,ITA,WB,25,70,0,0,0,0,2,0,0,0,50,1,1,1,0.1,0.1,0.0,0,0,26,42,61.9,1,28,0,1,0
Robin Gosens,8,GER,WB,28,20,0,0,0,0,1,0,0,0,20,3,1,1,0.0,0.0,0.0,0,0,9,13,69.2,2,8,0,0,0
Matteo Darmian,36,ITA,WB,33,90,0,0,0,0,0,0,0,0,58,0,1,0,0.0,0.0,0.0,1,0,45,55,81.8,0,33,1,1,1
Alessandro Bastoni,95,ITA,CB,23,90,0,0,0,0,0,0,0,0,79,1,0,0,0.0,0.0,0.0,3,0,56,74,75.7,8,52,6,0,0
Francesco Acerbi,15,ITA,CB,34,90,0,0,0,0,0,0,1,0,65,2,2,0,0.0,0.0,0.0,0,0,49,56,87.5,5,33,1,0,0
Milan Škriniar,37,SVK,CB,27,90,0,0,0,0,1,0,0,0,87,0,0,0,0.1,0.1,0.0,2,0,75,82,91.5,3,61,3,1,1
André Onana,24,CMR,GK,26,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,28,36,77.8,0,29,0,0,0
