player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Sam Lammers,7,NED,FW,25,90,0,0,0,0,3,0,0,0,33,2,1,0,0.4,0.4,0.1,3,0,14,23,60.9,2,19,0,1,0
Martin Satriano,9,URU,FW,21,81,0,0,0,0,1,0,0,0,23,0,0,1,0.0,0.0,0.0,1,0,7,14,50.0,1,8,0,3,1
Mattia Destro,23,ITA,FW,31,9,0,0,0,0,1,1,0,0,5,0,0,0,0.0,0.0,0.1,1,1,1,1,100.0,1,4,0,1,0
Marko Pjaca,14,CRO,AM,27,57,0,0,0,0,2,0,0,0,25,1,0,0,0.1,0.1,0.1,6,0,10,18,55.6,1,12,3,7,4
Filippo Bandinelli,25,ITA,LM,27,33,0,0,0,0,0,0,0,0,17,0,1,1,0.0,0.0,0.0,0,0,9,10,90.0,1,7,0,0,0
Liam Henderson,8,SCO,LM,26,57,0,0,0,0,2,1,0,0,34,1,1,0,0.1,0.1,0.1,3,0,17,24,70.8,4,15,1,0,0
Nedim Bajrami,10,ALB,AM,23,33,1,0,0,0,3,2,0,0,18,0,0,0,0.3,0.3,0.0,3,1,6,13,46.2,2,6,0,0,0
Alberto Grassi,5,ITA,CM,27,44,0,0,0,0,0,0,0,0,19,3,2,0,0.0,0.0,0.0,0,0,10,12,83.3,1,9,0,0,0
Răzvan Marin,18,ROU,CM,26,46,0,0,0,0,1,0,0,0,21,0,1,2,0.1,0.1,0.0,2,0,11,15,73.3,1,6,0,1,0
Nicolas Haas,32,SUI,RM,26,81,0,0,0,0,1,0,1,0,38,2,0,2,0.1,0.1,0.0,1,0,18,25,72.0,1,17,1,0,0
Nicolò Cambiaghi,28,ITA,RM,21,9,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0
Fabiano Parisi,65,ITA,LB,21,90,0,0,0,0,1,0,0,0,66,2,2,1,0.0,0.0,0.1,6,0,39,52,75.0,4,32,0,5,1
Sebastiano Luperto,33,ITA,CB,26,90,0,0,0,0,0,0,1,0,31,0,2,1,0.0,0.0,0.0,0,0,17,22,77.3,3,12,1,0,0
Koni De Winter,6,BEL,CB,20,90,0,0,0,0,0,0,1,0,32,2,1,2,0.0,0.0,0.0,0,0,14,21,66.7,1,10,0,0,0
Petar Stojanović,30,SVN,RB,26,90,0,0,0,0,1,0,0,0,55,4,1,2,0.0,0.0,0.0,2,0,31,37,83.8,4,19,3,1,1
Guglielmo Vicario,13,ITA,GK,25,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,21,28,75.0,0,15,0,0,0
