player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Olivier Giroud,9,FRA,FW,36,72,0,0,0,0,3,0,0,0,30,0,1,2,0.3,0.3,0.0,2,0,8,20,40.0,2,11,1,1,1
Ante Rebić,12,CRO,FW,29,18,1,1,0,0,1,1,0,0,4,0,0,0,0.5,0.5,0.4,2,1,1,3,33.3,0,4,0,0,0
Rafael Leão,17,POR,LW,23,90,1,1,0,0,4,2,0,0,40,0,1,0,0.7,0.7,0.9,9,3,21,30,70.0,3,27,7,7,4
Alexis Saelemaekers,56,BEL,RW,23,32,0,0,0,0,2,1,0,0,19,0,0,0,0.4,0.4,0.0,0,0,8,13,61.5,1,15,3,1,0
Rade Krunić,33,BIH,"AM,RW",28,58,0,1,0,0,0,0,0,0,22,5,0,1,0.0,0.0,0.2,3,1,10,12,83.3,3,8,1,2,1
Charles De Ketelaere,90,BEL,"RW,AM",21,72,0,0,0,0,1,0,0,0,35,2,0,2,0.1,0.1,0.3,3,0,17,26,65.4,2,17,5,2,2
Brahim Díaz,10,ESP,AM,23,18,0,0,0,0,2,0,0,0,10,2,0,0,0.2,0.2,0.0,0,0,3,4,75.0,0,5,2,0,0
Ismaël Bennacer,4,ALG,DM,24,90,0,0,0,0,0,0,1,0,52,1,1,0,0.0,0.0,0.0,3,0,37,45,82.2,5,21,1,4,1
Sandro Tonali,8,ITA,DM,22,90,0,0,0,0,4,1,0,0,66,1,1,2,0.1,0.1,0.0,3,0,35,52,67.3,8,24,2,2,1
Fodé Ballo-Touré,5,SEN,LB,25,90,1,0,0,0,1,1,0,0,59,1,0,2,0.1,0.1,0.0,1,0,37,46,80.4,3,22,1,3,1
Fikayo Tomori,23,ENG,CB,24,90,0,0,0,0,0,0,0,0,57,2,2,1,0.0,0.0,0.0,2,0,42,48,87.5,4,28,0,1,0
Simon Kjær,24,DEN,CB,33,71,0,0,0,0,0,0,1,0,42,1,0,2,0.0,0.0,0.0,1,0,31,36,86.1,4,18,0,0,0
Sergiño Dest,21,USA,RB,21,19,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.2,1,0,7,7,100.0,1,4,0,0,0
Davide Calabria,2,ITA,RB,25,38,0,0,0,0,1,0,0,0,35,3,0,1,0.0,0.0,0.1,1,0,22,27,81.5,5,13,0,1,1
Pierre Kalulu,20,FRA,"RB,CB",22,52,0,0,0,0,0,0,0,0,31,1,0,2,0.0,0.0,0.0,1,0,19,25,76.0,3,14,0,1,0
Ciprian Tătărușanu,1,ROU,GK,36,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,25,33,75.8,0,18,0,0,0
