player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Thomas Henry,9,FRA,FW,28,64,0,0,0,0,1,0,0,0,31,0,0,0,0.0,0.0,0.0,1,0,14,20,70.0,1,21,0,2,0
Milan Đurić,19,BIH,FW,32,26,0,0,0,0,2,0,0,0,15,0,0,0,0.0,0.0,0.0,1,0,4,12,33.3,0,6,0,0,0
Simone Verdi,7,ITA,AM,30,70,0,0,0,0,1,0,0,0,43,1,0,0,0.1,0.1,0.3,7,0,23,34,67.6,4,30,3,3,0
Yayah Kallon,30,SLE,CM,21,20,0,0,0,0,0,0,0,0,9,1,0,1,0.0,0.0,0.1,1,0,3,6,50.0,1,4,0,0,0
Ajdin Hrustic,10,AUS,AM,26,53,0,0,0,0,3,0,0,0,31,0,0,0,0.3,0.3,0.6,3,0,20,24,83.3,2,19,3,3,1
Roberto Piccoli,20,ITA,"FW,AM",21,37,0,0,0,0,3,1,0,0,10,0,0,1,0.4,0.4,0.2,1,0,1,2,50.0,0,7,1,0,0
Miguel Veloso,4,POR,CM,36,90,0,0,0,0,1,0,0,0,57,1,0,3,0.0,0.0,0.4,3,0,27,46,58.7,4,25,2,1,0
Adrien Tameze,61,CMR,CM,28,64,0,0,0,0,0,0,0,0,30,1,1,2,0.0,0.0,0.1,2,1,17,22,77.3,2,16,0,1,0
Martin Hongla,18,CMR,CM,24,26,0,0,0,0,0,0,1,0,14,0,0,0,0.0,0.0,0.0,0,0,9,13,69.2,2,7,1,1,0
Fabio Depaoli,29,ITA,WB,25,90,0,1,0,0,1,0,0,0,49,1,1,1,0.2,0.2,0.1,4,1,27,39,69.2,6,30,1,2,0
Davide Faraoni,5,ITA,WB,30,90,0,0,0,0,4,2,1,0,58,2,3,0,0.4,0.4,0.0,2,0,37,47,78.7,5,28,0,1,0
Koray Günter,21,GER,CB,28,90,1,0,0,0,3,1,0,0,51,1,3,1,0.7,0.7,0.2,3,0,30,38,78.9,3,28,3,1,0
Giangiacomo Magnani,23,ITA,CB,27,69,0,0,0,0,0,0,1,0,18,0,1,1,0.0,0.0,0.0,0,0,6,12,50.0,2,3,0,0,0
Juan Cabal,32,COL,CB,21,21,0,0,0,0,0,0,0,0,12,0,1,0,0.0,0.0,0.0,2,0,8,11,72.7,2,8,0,0,0
Isak Hien,6,SWE,CB,23,90,0,0,0,0,0,0,0,0,33,1,2,1,0.0,0.0,0.0,0,0,12,20,60.0,1,5,0,0,0
Lorenzo Montipò,1,ITA,GK,26,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,19,31,61.3,0,16,0,0,0
