player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Olivier Giroud,9,FRA,FW,36,45,0,0,0,0,3,0,0,0,20,1,0,1,0.5,0.5,0.0,2,0,6,12,50.0,0,11,1,0,0
Divock Origi,27,BEL,FW,27,45,0,0,0,0,2,1,0,0,26,1,0,0,0.1,0.1,0.0,2,0,8,17,47.1,0,10,0,1,0
Rafael Leão,17,POR,LW,23,82,0,0,0,0,0,0,0,0,35,0,1,1,0.0,0.0,0.1,3,1,21,27,77.8,5,21,2,1,0
Malick Thiaw,28,GER,CB,21,8,0,0,0,0,0,0,0,0,5,0,0,2,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0
Brahim Díaz,10,ESP,RW,23,45,0,0,0,0,0,0,0,0,26,0,1,0,0.0,0.0,0.4,1,0,15,20,75.0,3,22,0,2,0
Ante Rebić,12,CRO,"RW,RM",29,45,0,1,0,0,4,2,1,0,25,0,0,0,0.6,0.6,0.6,4,1,8,17,47.1,4,15,0,2,2
Yacine Adli,7,FRA,AM,22,59,0,0,0,0,0,0,0,0,38,3,0,0,0.0,0.0,0.1,1,0,21,28,75.0,5,21,2,1,1
Ismaël Bennacer,4,ALG,"DM,CM",24,31,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,1,0,10,13,76.9,2,7,1,2,1
Sandro Tonali,8,ITA,"DM,CM",22,90,1,0,0,0,3,2,0,0,40,2,1,2,0.6,0.6,0.2,1,0,16,27,59.3,1,20,0,0,0
Rade Krunić,33,BIH,DM,29,59,0,0,0,0,0,0,0,0,35,1,2,3,0.0,0.0,0.0,1,0,21,25,84.0,2,17,1,0,0
Tommaso Pobega,32,ITA,"AM,LM",23,31,0,0,0,0,1,0,0,0,19,0,2,1,0.0,0.0,0.0,1,0,7,12,58.3,2,10,2,0,0
Theo Hernández,19,FRA,LB,25,90,0,0,0,0,3,1,1,0,63,1,0,3,0.1,0.1,0.4,4,0,36,48,75.0,5,29,3,1,0
Fikayo Tomori,23,ENG,CB,24,90,0,0,0,0,0,0,0,0,56,5,2,1,0.0,0.0,0.0,0,0,38,44,86.4,1,23,0,0,0
Matteo Gabbia,46,ITA,CB,22,90,0,0,0,0,0,0,0,0,69,2,2,2,0.0,0.0,0.0,2,0,47,54,87.0,2,38,0,0,0
Pierre Kalulu,20,FRA,RB,22,90,0,0,0,0,0,0,0,0,65,3,0,0,0.0,0.0,0.0,0,0,44,55,80.0,2,35,1,0,0
Ciprian Tătărușanu,1,ROU,GK,36,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,2,0,27,34,79.4,0,23,0,0,0
