player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Moise Kean,18,ITA,FW,23,72,0,0,0,0,2,1,0,0,22,0,0,2,0.1,0.1,0.0,1,0,7,12,58.3,0,16,1,4,2
Samuel Iling-Junior,43,ENG,FW,19,18,0,0,0,0,1,0,0,0,13,0,0,1,0.0,0.0,0.0,0,0,6,9,66.7,2,11,0,2,1
Federico Chiesa,7,ITA,"FW,AM",25,90,0,0,0,0,4,0,0,0,43,1,0,2,0.1,0.1,0.0,0,0,20,31,64.5,3,34,3,3,1
Ángel Di María,22,ARG,AM,35,62,0,0,0,0,1,0,0,0,41,1,0,1,0.2,0.2,0.1,2,0,28,34,82.4,6,31,0,1,1
Arkadiusz Milik,14,POL,FW,29,28,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,4,0,0,0
Manuel Locatelli,5,ITA,CM,25,90,0,0,0,0,1,0,0,0,55,2,0,0,0.0,0.0,0.1,4,0,39,48,81.3,2,34,0,1,0
Adrien Rabiot,25,FRA,CM,28,90,0,0,0,0,3,1,0,0,55,3,0,1,0.1,0.1,0.0,1,0,36,42,85.7,4,39,5,2,0
Filip Kostić,17,SRB,WB,30,62,0,0,0,0,0,0,0,0,38,0,0,2,0.0,0.0,0.0,1,0,24,32,75.0,1,28,4,3,2
Leandro Paredes,32,ARG,WB,28,28,0,0,0,0,1,0,0,0,35,0,0,0,0.0,0.0,0.3,4,0,27,33,81.8,7,26,1,0,0
Juan Cuadrado,11,COL,WB,35,90,0,0,0,0,1,1,1,0,75,5,0,1,0.0,0.0,0.0,3,0,50,57,87.7,9,43,5,2,1
Danilo,6,BRA,CB,31,90,0,0,0,0,2,0,0,0,76,2,3,1,0.3,0.3,0.0,5,0,56,66,84.8,6,46,2,1,0
Gleison Bremer,3,BRA,CB,26,81,0,0,0,0,0,0,0,0,39,0,1,1,0.0,0.0,0.0,0,0,29,33,87.9,1,23,0,0,0
Leonardo Bonucci,19,ITA,CB,36,9,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,7,8,87.5,0,7,0,0,0
Federico Gatti,15,ITA,CB,24,90,0,0,0,0,0,0,0,0,47,1,0,1,0.0,0.0,0.0,1,0,34,42,81.0,4,35,2,0,0
Wojciech Szczęsny,1,POL,GK,33,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,20,21,95.2,0,16,0,0,0
