player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Olivier Giroud,9,FRA,FW,36,85,1,0,0,0,2,1,0,0,30,0,0,0,0.2,0.2,0.1,2,0,12,22,54.5,1,13,1,0,0
Divock Origi,27,BEL,FW,28,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,1,1,1,1
Rafael Leão,17,POR,LW,23,81,0,0,0,0,1,0,0,0,36,1,0,0,0.1,0.1,0.0,2,0,15,26,57.7,5,32,4,4,2
Fodé Ballo-Touré,5,SEN,LW,26,9,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,3,0,0,0
Junior Messias,30,BRA,RW,32,55,0,0,0,0,2,1,1,0,26,0,0,0,0.1,0.1,0.1,1,0,17,23,73.9,4,20,4,2,2
Alexis Saelemaekers,56,BEL,RW,23,35,0,0,0,0,2,1,0,0,15,0,0,0,0.1,0.1,0.0,0,0,8,10,80.0,0,14,1,3,1
Brahim Díaz,10,ESP,AM,23,81,0,0,0,0,0,0,0,0,39,1,0,1,0.0,0.0,0.0,5,0,24,28,85.7,4,32,0,2,0
Tommaso Pobega,32,ITA,CM,23,9,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0
Sandro Tonali,8,ITA,"DM,CM",23,90,0,0,0,0,1,0,0,0,63,1,2,0,0.1,0.1,0.1,1,0,41,51,80.4,4,32,2,0,0
Rade Krunić,33,BIH,"DM,CM",29,90,0,0,0,0,1,0,1,0,65,3,0,3,0.1,0.1,0.0,2,1,49,58,84.5,2,52,4,5,5
Theo Hernández,19,FRA,LB,25,90,0,0,0,0,0,0,0,0,76,1,1,0,0.0,0.0,0.1,2,0,59,70,84.3,3,50,4,2,0
Fikayo Tomori,23,ENG,CB,25,90,0,0,0,0,0,0,0,0,76,4,1,4,0.0,0.0,0.0,0,0,53,61,86.9,1,46,1,0,0
Malick Thiaw,28,GER,CB,21,90,0,0,0,0,0,0,0,0,71,3,0,0,0.0,0.0,0.0,1,0,52,57,91.2,3,46,0,0,0
Davide Calabria,2,ITA,RB,26,85,0,1,0,0,0,0,0,0,68,3,1,1,0.0,0.0,0.1,1,1,45,55,81.8,7,39,0,1,0
Pierre Kalulu,20,FRA,RB,22,5,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0
Mike Maignan,16,FRA,GK,27,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,36,42,85.7,0,34,0,0,0
