player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Olivier Giroud,9,FRA,FW,36,57,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,6,10,60.0,1,5,0,0,0
Divock Origi,27,BEL,FW,27,33,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0,0,0,,0,1,0,0,0
Rafael Leão,17,POR,LW,23,78,0,0,0,0,3,0,0,0,20,0,1,0,0.4,0.4,0.0,2,0,7,12,58.3,3,11,3,3,2
Ante Rebić,12,CRO,LW,29,12,0,0,0,0,2,2,0,0,6,0,1,0,0.1,0.1,0.0,0,0,1,3,33.3,0,3,1,0,0
Junior Messias,30,BRA,RW,31,57,0,0,0,0,1,0,0,0,32,0,0,0,0.0,0.0,0.0,2,0,22,24,91.7,3,26,3,3,1
Alexis Saelemaekers,56,BEL,RW,23,33,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.3,1,0,10,15,66.7,0,12,0,2,0
Brahim Díaz,10,ESP,AM,23,58,0,0,0,0,0,0,0,0,26,1,2,1,0.0,0.0,0.0,0,0,14,17,82.4,5,17,3,3,2
Charles De Ketelaere,90,BEL,AM,21,32,0,0,0,0,1,0,0,0,21,1,1,0,0.1,0.1,0.0,0,0,13,17,76.5,1,13,2,0,0
Sandro Tonali,8,ITA,DM,22,90,0,0,0,0,1,1,0,0,59,0,1,0,0.0,0.0,0.1,7,0,40,50,80.0,2,42,5,4,1
Ismaël Bennacer,4,ALG,DM,25,90,0,0,0,0,1,0,1,0,69,1,3,0,0.0,0.0,0.1,3,0,50,57,87.7,8,44,0,4,1
Sergiño Dest,21,USA,LB,22,90,0,0,0,0,0,0,0,0,49,2,2,0,0.0,0.0,0.0,1,0,33,41,80.5,3,34,4,4,3
Fikayo Tomori,23,ENG,CB,25,23,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,21,26,80.8,0,26,0,0,0
Simon Kjær,24,DEN,CB,33,67,0,0,0,0,0,0,1,0,62,0,1,2,0.0,0.0,0.0,0,0,48,58,82.8,1,45,0,0,0
Pierre Kalulu,20,FRA,CB,22,90,0,0,0,0,1,0,0,0,89,4,2,3,0.1,0.1,0.0,1,0,73,78,93.6,1,64,0,0,0
Davide Calabria,2,ITA,RB,26,90,0,0,0,0,0,0,0,0,92,6,0,3,0.0,0.0,0.1,2,0,67,79,84.8,3,56,0,2,0
Ciprian Tătărușanu,1,ROU,GK,36,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,33,40,82.5,0,30,0,0,0
