player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Lorenzo Colombo,9,ITA,FW,20,72,0,0,0,0,1,0,0,0,26,0,0,2,0.1,0.1,0.2,4,0,9,15,60.0,0,17,0,0,0
Joel Voelkerling Persson,31,SWE,FW,19,18,0,0,0,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,2,0,4,6,66.7,0,4,0,0,0
Federico Di Francesco,11,ITA,LW,28,72,0,0,0,0,3,0,0,0,28,0,2,1,0.5,0.5,0.3,2,0,13,18,72.2,2,15,4,2,1
Lameck Banda,22,ZAM,LW,21,18,0,0,0,0,1,0,0,0,11,0,0,2,0.0,0.0,0.0,1,0,5,6,83.3,0,6,0,2,1
Gabriel Strefezza,27,BRA,RW,25,88,0,0,0,0,6,2,0,0,68,5,1,1,0.2,0.2,0.1,8,1,27,40,67.5,4,46,3,5,0
Remi Oudin,28,FRA,RW,26,2,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,1,4,25.0,1,4,0,0,0
Joan Gonzàlez,16,ESP,LM,20,61,0,0,0,0,1,0,0,0,18,3,0,0,0.1,0.1,0.0,1,0,8,11,72.7,3,13,1,2,1
Youssef Maleh,32,ITA,LM,24,29,0,0,0,0,1,0,1,0,8,1,0,0,0.0,0.0,0.1,1,0,4,5,80.0,1,4,1,0,0
Morten Hjulmand,42,DEN,CM,23,90,0,1,0,0,0,0,0,0,37,3,4,1,0.0,0.0,0.1,2,1,18,26,69.2,2,14,0,0,0
Alexis Blin,29,FRA,RM,26,90,0,0,0,0,0,0,0,0,52,4,3,1,0.0,0.0,0.0,3,0,29,36,80.6,5,26,0,0,0
Giuseppe Pezzella,97,ITA,LB,25,61,0,0,0,0,0,0,0,0,26,2,0,1,0.0,0.0,0.0,0,0,16,20,80.0,7,10,1,1,0
Antonino Gallo,25,ITA,LB,23,29,0,0,0,0,0,0,0,0,15,0,0,1,0.0,0.0,0.0,1,0,4,12,33.3,3,7,1,2,1
Samuel Umtiti,93,FRA,CB,29,90,0,0,0,0,0,0,0,0,29,1,1,2,0.0,0.0,0.0,0,0,16,21,76.2,0,16,0,0,0
Federico Baschirotto,6,ITA,CB,26,90,1,0,0,0,1,1,0,0,37,0,1,2,0.1,0.1,0.0,0,0,13,25,52.0,2,15,0,0,0
Valentin Gendrey,17,FRA,RB,22,90,0,0,0,0,3,0,0,0,49,3,4,0,0.4,0.4,0.4,4,0,23,33,69.7,3,23,3,1,0
Wladimiro Falcone,30,ITA,GK,27,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,9,30,30.0,0,9,0,0,0
