player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Olivier Giroud,9,FRA,FW,36,90,0,1,0,0,3,2,0,0,47,0,0,0,0.3,0.3,0.6,3,2,21,35,60.0,3,19,0,1,0
Rafael Leão,17,POR,LW,23,90,1,0,0,0,2,1,0,0,30,0,0,0,0.1,0.1,0.0,1,0,15,21,71.4,3,23,3,5,1
Alexis Saelemaekers,56,BEL,RW,23,45,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.1,3,0,20,25,80.0,4,23,1,2,1
Junior Messias,30,BRA,RW,31,45,0,0,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.0,1,0,9,12,75.0,2,7,1,1,0
Brahim Díaz,10,ESP,AM,23,68,0,1,0,0,1,0,0,0,46,0,1,2,0.0,0.0,0.4,2,0,21,31,67.7,6,26,6,3,1
Divock Origi,27,BEL,AM,27,22,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,4,9,44.4,0,6,1,0,0
Tommaso Pobega,32,ITA,DM,23,85,0,0,0,0,2,1,0,0,37,2,1,0,0.4,0.4,0.1,3,1,20,26,76.9,2,17,2,1,0
Aster Vranckx,40,BEL,DM,20,5,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,0,2,0.0,0,2,0,0,0
Ismaël Bennacer,4,ALG,DM,25,90,0,0,0,0,0,0,1,0,88,5,2,1,0.0,0.0,0.0,4,0,62,76,81.6,6,50,3,4,4
Theo Hernández,19,FRA,LB,25,45,0,0,0,0,1,0,0,0,41,2,0,1,0.0,0.0,0.0,1,0,20,32,62.5,1,14,0,1,0
Sergiño Dest,21,USA,LB,22,45,0,0,0,0,0,0,0,0,41,3,1,0,0.0,0.0,0.0,1,0,29,32,90.6,1,17,0,3,1
Fikayo Tomori,23,ENG,CB,25,90,0,0,0,0,1,0,0,0,87,2,1,2,0.0,0.0,0.0,0,0,62,72,86.1,4,43,2,0,0
Pierre Kalulu,20,FRA,"CB,RB",22,90,0,0,0,0,0,0,0,0,88,3,0,2,0.0,0.0,0.0,1,0,66,78,84.6,9,56,2,1,1
Davide Calabria,2,ITA,RB,26,85,1,0,0,0,2,1,1,0,75,5,1,0,0.7,0.7,0.1,1,0,55,63,87.3,0,32,1,0,0
Simon Kjær,24,DEN,"CB,RB",33,5,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,9,10,90.0,3,7,0,0,0
Ciprian Tătărușanu,1,ROU,GK,36,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,31,42,73.8,0,35,0,0,0
