player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Rasmus Højlund,17,DEN,FW,20,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,1,0,16,22,72.7,1,26,1,2,0
Ademola Lookman,11,NGA,"FW,RW",25,68,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,1,0,14,18,77.8,1,14,0,3,1
Luis Muriel,9,COL,RW,31,22,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,10,21,47.6,2,21,3,3,2
Marten de Roon,15,NED,CM,31,90,0,0,0,0,0,0,0,0,81,2,0,1,0.0,0.0,0.0,0,0,61,72,84.7,4,53,0,1,1
Teun Koopmeiners,7,NED,CM,24,83,0,0,0,0,1,0,0,0,56,1,0,3,0.0,0.0,0.0,0,0,31,44,70.5,2,37,0,2,1
Lukáš Vorlický,23,CZE,CM,21,7,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,0,5,0,0,0
Éderson,13,BRA,CM,23,62,0,0,0,0,0,0,0,0,50,2,2,1,0.0,0.0,0.0,1,0,25,36,69.4,1,29,0,1,1
Jeremie Boga,10,CIV,LW,26,28,0,0,0,0,1,0,0,0,23,0,0,1,0.1,0.1,0.0,2,0,15,18,83.3,2,14,1,5,4
Joakim Mæhle,3,DEN,"WB,LM,RM",25,90,0,0,0,0,1,0,0,0,70,1,1,1,0.0,0.0,0.0,1,0,54,60,90.0,6,45,0,3,2
Davide Zappacosta,77,ITA,"WB,RM",30,83,0,0,0,0,0,0,0,0,68,2,0,1,0.0,0.0,0.0,0,0,53,60,88.3,7,48,2,2,0
Matteo Ruggeri,22,ITA,LM,20,7,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,1,5,0,0,0
Giorgio Scalvini,42,ITA,CB,19,83,0,0,0,0,0,0,0,0,72,2,2,1,0.0,0.0,0.0,0,0,49,61,80.3,8,44,0,2,0
José Luis Palomino,6,ARG,CB,33,7,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,0,0,11,12,91.7,3,8,0,0,0
Berat Djimsiti,19,ALB,CB,30,90,0,0,0,0,0,0,0,0,60,1,1,1,0.0,0.0,0.0,0,0,41,52,78.8,1,33,0,0,0
Rafael Tolói,2,ITA,CB,32,90,0,0,0,0,0,0,1,0,65,3,2,0,0.0,0.0,0.0,0,0,47,57,82.5,4,44,0,0,0
Juan Musso,1,ARG,GK,28,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,17,27,63.0,0,12,0,0,0
