player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Musa Barrow,99,GAM,FW,23,61,0,0,0,0,2,0,0,0,42,0,0,2,0.1,0.1,0.1,4,0,23,29,79.3,0,22,1,5,2
Nicola Sansone,10,ITA,FW,30,29,0,0,0,0,2,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,5,7,71.4,1,7,1,2,0
Marko Arnautović,9,AUT,FW,33,90,0,0,0,0,2,0,0,0,44,2,0,0,0.4,0.4,0.1,2,0,24,34,70.6,2,27,0,1,0
Nicolás Domínguez,8,ARG,CM,24,61,0,0,0,0,1,0,0,0,39,3,0,1,0.0,0.0,0.0,1,0,28,31,90.3,6,17,0,1,0
Michel Aebischer,20,SUI,CM,25,29,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,1,0,15,17,88.2,0,14,0,0,0
Jerdy Schouten,30,NED,CM,25,83,0,0,0,0,0,0,1,0,48,3,0,4,0.0,0.0,0.0,1,0,30,37,81.1,8,23,0,1,0
Lewis Ferguson,19,SCO,CM,23,7,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,4,5,80.0,0,4,0,0,0
Emanuel Vignato,55,ITA,CM,22,61,0,0,0,0,0,0,0,0,35,2,0,1,0.0,0.0,0.0,1,0,25,31,80.6,1,26,0,1,1
Roberto Soriano,21,ITA,CM,31,29,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.0,1,0,9,14,64.3,2,10,1,0,0
Andrea Cambiaso,50,ITA,WB,22,90,0,0,0,0,0,0,0,0,71,1,1,1,0.0,0.0,0.3,2,0,47,63,74.6,1,50,1,5,1
Denso Kasius,33,NED,WB,19,90,0,0,0,0,1,0,0,0,73,5,0,2,0.0,0.0,0.0,1,0,42,59,71.2,2,39,4,1,0
Jhon Lucumí,26,COL,CB,24,90,0,0,0,0,0,0,0,0,64,2,2,1,0.0,0.0,0.0,0,0,52,56,92.9,1,37,1,1,1
Gary Medel,17,CHI,CB,35,73,0,0,0,0,0,0,0,0,48,2,2,0,0.0,0.0,0.0,0,0,34,39,87.2,1,21,0,0,0
Kevin Bonifazi,14,ITA,CB,26,17,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,8,10,80.0,1,4,0,0,0
Adama Soumaoro,5,FRA,CB,30,90,0,0,0,0,0,0,0,0,40,0,0,1,0.0,0.0,0.0,0,0,33,34,97.1,1,23,1,0,0
Łukasz Skorupski,28,POL,GK,31,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,29,36,80.6,0,24,0,0,0
