player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Olivier Giroud,9,FRA,FW,35,90,1,0,0,0,3,1,0,0,37,0,0,0,0.5,0.5,0.3,3,0,20,28,71.4,1,22,1,2,1
Rafael Leão,17,POR,LW,23,90,1,1,0,0,6,2,0,0,53,1,0,0,0.6,0.6,0.6,5,1,33,37,89.2,8,36,6,7,1
Junior Messias,30,BRA,RW,31,60,0,0,0,0,1,1,0,0,24,1,0,0,0.2,0.2,0.0,3,0,12,18,66.7,2,16,0,3,2
Alexis Saelemaekers,56,BEL,RW,23,30,0,0,0,0,1,1,0,0,20,2,1,0,0.0,0.0,0.0,2,0,11,14,78.6,1,16,2,0,0
Charles De Ketelaere,90,BEL,AM,21,60,0,1,0,0,1,0,0,0,31,0,1,0,0.1,0.1,0.3,5,1,17,26,65.4,5,23,4,3,3
Tommaso Pobega,32,ITA,AM,23,30,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,1,0,15,16,93.8,1,8,0,0,0
Ismaël Bennacer,4,ALG,DM,24,60,0,0,0,0,0,0,0,0,53,1,0,0,0.0,0.0,0.1,3,0,43,47,91.5,5,29,0,4,3
Yacine Adli,7,FRA,DM,22,30,0,0,0,0,1,1,1,0,16,0,1,1,0.1,0.1,0.0,0,0,9,12,75.0,1,7,0,0,0
Sandro Tonali,8,ITA,DM,22,90,0,0,0,0,0,0,0,0,62,1,4,2,0.0,0.0,0.2,3,0,41,49,83.7,4,24,1,0,0
Theo Hernández,19,FRA,LB,24,74,0,0,0,0,3,0,0,0,47,5,1,1,0.1,0.1,0.0,2,0,30,36,83.3,5,30,7,2,0
Fodé Ballo-Touré,5,SEN,LB,25,16,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.1,1,0,13,15,86.7,1,7,0,1,0
Fikayo Tomori,23,ENG,CB,24,82,0,0,0,0,0,0,0,0,44,1,1,1,0.0,0.0,0.0,1,0,32,40,80.0,1,17,1,0,0
Matteo Gabbia,46,ITA,CB,22,8,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,1,0,0,0
Pierre Kalulu,20,FRA,CB,22,90,0,0,0,0,1,1,0,0,49,3,2,2,0.1,0.1,0.0,1,0,33,37,89.2,3,19,1,1,1
Davide Calabria,2,ITA,RB,25,90,0,0,0,0,2,0,1,0,56,5,2,3,0.2,0.2,0.0,0,0,35,42,83.3,5,25,0,0,0
Mike Maignan,16,FRA,GK,27,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,29,43,67.4,0,33,0,0,0
