player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Felix Afena-Gyan,20,GHA,FW,20,72,0,0,0,0,1,0,0,0,19,1,0,0,0.0,0.0,0.0,1,0,6,10,60.0,1,14,0,2,0
Alex Ferrari,24,ITA,CB,28,18,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,1,0,0,0
Cristian Buonaiuto,10,ITA,LW,30,55,0,0,0,0,0,0,0,0,25,6,1,1,0.0,0.0,0.0,0,0,8,11,72.7,0,14,1,2,0
Emanuele Valeri,3,ITA,LW,24,35,0,0,0,0,1,0,0,0,15,0,1,0,0.4,0.4,0.1,1,0,4,7,57.1,0,11,1,1,0
Marco Benassi,26,ITA,RW,28,55,0,0,0,0,0,0,0,0,19,1,1,0,0.0,0.0,0.0,1,0,4,8,50.0,0,7,0,0,0
David Okereke,77,NGA,"FW,RW",25,35,1,0,0,0,1,1,0,0,16,0,0,0,0.6,0.6,0.0,2,2,9,12,75.0,0,10,2,2,2
Pablo Galdames Millán,27,CHI,AM,26,83,0,1,0,0,0,0,1,0,37,3,1,1,0.0,0.0,0.6,0,0,18,26,69.2,3,18,1,0,0
Michele Castagnetti,19,ITA,AM,33,7,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,2,0,0,0
Soualiho Meïté,28,FRA,DM,29,90,0,0,0,0,0,0,0,0,42,2,2,1,0.0,0.0,0.0,0,0,21,27,77.8,2,19,0,4,1
Charles Pickel,6,SUI,DM,25,89,0,0,0,0,1,0,0,1,26,1,1,1,0.0,0.0,0.0,1,0,18,19,94.7,0,12,0,2,1
Johan Vásquez,5,MEX,LB,24,90,0,0,0,0,0,0,1,0,37,4,3,1,0.0,0.0,0.0,0,0,20,25,80.0,1,12,1,2,1
Luka Lochoshvili,44,GEO,CB,24,90,0,0,0,0,1,0,0,0,30,1,3,0,0.0,0.0,0.0,0,0,13,20,65.0,0,12,0,0,0
Vlad Chiricheș,21,ROU,CB,33,72,0,0,0,0,0,0,0,0,37,2,3,3,0.0,0.0,0.0,0,0,17,24,70.8,2,15,0,2,2
Paolo Ghiglione,18,ITA,RW,26,18,0,0,0,0,1,1,1,0,4,0,0,0,0.1,0.1,0.0,0,0,0,3,0.0,0,3,0,1,1
Leonardo Sernicola,17,ITA,RB,25,90,0,0,0,0,0,0,0,0,35,3,2,0,0.0,0.0,0.4,2,0,13,24,54.2,1,14,3,1,0
Marco Carnesecchi,12,ITA,GK,22,90,0,0,0,0,0,0,0,0,52,1,0,0,0.0,0.0,0.0,1,0,23,47,48.9,0,29,0,0,0
