player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Arthur,9,BRA,FW,24,65,0,0,0,0,2,2,0,0,16,0,0,1,0.1,0.1,0.1,3,0,8,9,88.9,1,3,0,0,0
Luka Jović,7,SRB,FW,24,25,0,0,0,0,0,0,1,0,10,1,0,0,0.0,0.0,0.0,1,0,7,7,100.0,0,5,0,0,0
Riccardo Saponara,8,ITA,LW,30,74,0,0,0,0,1,0,1,0,44,3,0,0,0.0,0.0,0.0,1,0,25,36,69.4,4,28,4,2,1
Christian Kouamé,99,CIV,AM,24,16,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,3,7,42.9,2,4,0,0,0
Jonathan Ikone,11,FRA,RW,24,90,0,1,0,0,1,0,0,0,38,2,0,1,0.1,0.1,0.1,1,1,20,28,71.4,5,26,2,2,2
Antonín Barák,72,CZE,AM,27,74,1,0,0,0,1,1,1,0,38,1,0,0,0.1,0.1,0.1,3,0,22,30,73.3,5,18,1,3,2
Aleksa Terzić,15,SRB,LW,23,16,0,0,0,0,1,1,0,0,12,0,0,0,0.0,0.0,0.1,2,0,5,9,55.6,0,10,1,0,0
Rolando Mandragora,38,ITA,DM,25,65,0,0,0,0,3,0,1,0,47,1,2,0,0.1,0.1,0.1,3,0,28,35,80.0,2,21,1,1,0
Alfred Duncan,32,GHA,DM,29,25,0,0,0,0,0,0,0,0,13,2,0,0,0.0,0.0,0.0,0,0,9,10,90.0,0,7,1,0,0
Sofyan Amrabat,34,MAR,DM,26,90,0,0,0,0,1,0,0,0,78,3,1,0,0.0,0.0,0.0,3,0,65,71,91.5,9,56,1,1,1
Cristiano Biraghi,3,ITA,LB,30,90,0,0,0,0,1,0,0,0,73,4,0,3,0.1,0.1,0.0,3,0,40,63,63.5,7,39,3,1,0
Igor,98,BRA,CB,24,90,0,0,0,0,0,0,0,0,44,1,1,3,0.0,0.0,0.0,0,0,23,33,69.7,3,28,1,0,0
Nikola Milenković,4,SRB,CB,25,90,0,0,0,0,0,0,0,0,50,0,1,2,0.0,0.0,0.0,0,0,29,40,72.5,4,15,0,0,0
Dodô,2,BRA,RB,23,17,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,11,11,100.0,1,9,1,0,0
Lorenzo Venuti,23,ITA,RB,27,73,0,0,0,0,0,0,0,0,39,3,1,1,0.0,0.0,0.0,1,1,20,26,76.9,5,15,0,0,0
Pietro Terracciano,1,ITA,GK,32,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,27,36,75.0,0,20,0,1,1
