player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Arkadiusz Milik,14,POL,FW,28,90,0,0,0,0,2,2,0,0,52,0,0,1,0.2,0.2,0.2,3,0,29,38,76.3,3,27,0,2,1
Dušan Vlahović,9,SRB,FW,22,77,0,0,0,0,0,0,0,0,27,0,0,3,0.0,0.0,0.0,1,0,11,20,55.0,4,15,0,1,0
Moise Kean,18,ITA,FW,22,13,0,0,0,0,2,1,1,0,11,0,0,0,0.2,0.2,0.0,3,0,7,8,87.5,1,9,1,2,1
Filip Kostić,17,SRB,LM,29,55,0,0,0,0,2,0,0,0,20,0,0,0,0.2,0.2,0.0,0,0,11,14,78.6,0,17,0,0,0
Fabio Miretti,20,ITA,CM,19,35,0,0,0,0,0,0,0,0,32,0,0,1,0.0,0.0,0.0,1,0,18,28,64.3,4,17,1,1,0
Adrien Rabiot,25,FRA,"CM,LM",27,79,0,0,0,0,0,0,0,0,54,1,1,0,0.0,0.0,0.0,1,0,42,50,84.0,7,30,1,2,2
Matìas Soulé,30,ARG,LM,19,11,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.1,1,0,9,10,90.0,1,9,0,1,0
Manuel Locatelli,5,ITA,CM,24,55,0,0,0,0,0,0,0,0,57,3,1,1,0.0,0.0,0.0,1,0,40,50,80.0,7,26,2,0,0
Leandro Paredes,32,ARG,CM,28,35,0,0,0,0,0,0,1,0,46,2,2,0,0.0,0.0,0.0,1,0,37,40,92.5,4,19,0,0,0
Juan Cuadrado,11,COL,RM,34,45,0,0,0,0,1,0,1,0,37,2,1,0,0.0,0.0,0.2,3,0,28,30,93.3,4,19,1,1,0
Weston McKennie,8,USA,RM,24,45,0,0,0,0,1,0,0,0,29,2,0,1,0.1,0.1,0.0,1,0,20,22,90.9,3,16,0,0,0
Alex Sandro,12,BRA,LB,31,90,0,0,0,0,0,0,0,0,65,1,2,1,0.0,0.0,0.0,0,0,50,59,84.7,6,20,3,3,2
Leonardo Bonucci,19,ITA,CB,35,90,0,0,0,0,0,0,0,0,72,0,1,2,0.0,0.0,0.0,0,0,58,64,90.6,2,41,0,0,0
Gleison Bremer,3,BRA,CB,25,90,0,0,0,0,1,0,0,0,74,0,2,4,0.1,0.1,0.0,1,0,49,54,90.7,2,35,0,0,0
Danilo,6,BRA,RB,31,90,0,0,0,0,1,0,0,0,66,2,1,1,0.0,0.0,0.1,2,0,46,58,79.3,3,32,1,2,1
Wojciech Szczęsny,1,POL,GK,32,90,0,0,0,0,0,0,0,0,43,1,0,0,0.0,0.0,0.0,0,0,34,41,82.9,0,28,0,0,0
