player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Ciro Immobile,17,ITA,FW,33,80,0,0,0,0,2,0,0,0,19,0,0,0,0.1,0.1,0.0,0,0,10,14,71.4,0,10,0,0,0
Matteo Cancellieri,11,ITA,FW,21,10,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,3,1,0,0
Mattia Zaccagni,20,ITA,LW,27,55,0,0,0,0,1,0,0,0,26,1,0,1,0.0,0.0,0.0,2,0,16,20,80.0,1,15,2,3,2
Pedro,9,ESP,LW,35,35,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.5,1,0,19,20,95.0,0,11,1,1,1
Felipe Anderson,7,BRA,RW,30,90,0,0,0,0,0,0,0,0,63,5,0,3,0.0,0.0,0.0,0,0,40,50,80.0,3,27,3,7,7
Luis Alberto,10,ESP,LM,30,90,0,0,0,0,1,0,0,0,74,3,0,0,0.0,0.0,0.6,7,0,56,68,82.4,8,29,2,1,0
Marcos Antônio,6,BRA,CM,22,90,0,0,0,0,0,0,0,0,86,2,2,2,0.0,0.0,0.0,0,0,68,74,91.9,4,49,0,2,2
Sergej Milinković-Savić,21,SRB,RM,28,67,0,0,0,0,1,0,0,0,39,0,0,0,0.1,0.1,0.0,0,0,24,32,75.0,0,14,0,2,1
Toma Bašić,88,CRO,RM,26,23,0,0,0,0,1,0,0,0,14,0,0,0,0.5,0.5,0.0,1,0,10,10,100.0,1,7,0,0,0
Elseid Hysaj,23,ALB,LB,29,67,0,0,0,0,0,0,0,0,51,2,0,1,0.0,0.0,0.1,1,0,39,43,90.7,5,14,0,1,1
Luca Pellegrini,3,ITA,LB,24,23,0,0,0,0,1,0,1,0,18,0,0,0,0.0,0.0,0.0,1,0,9,13,69.2,0,8,1,1,0
Alessio Romagnoli,13,ITA,CB,28,90,0,0,0,0,1,0,1,0,68,0,3,0,0.4,0.4,0.0,0,0,56,60,93.3,4,42,0,0,0
Nicolò Casale,15,ITA,CB,25,90,0,0,0,0,0,0,1,0,66,0,0,2,0.0,0.0,0.0,0,0,55,61,90.2,2,40,0,0,0
Adam Marušić,77,MNE,RB,30,55,0,0,0,0,0,0,1,0,43,3,1,1,0.0,0.0,0.0,0,0,28,33,84.8,2,15,0,0,0
Manuel Lazzari,29,ITA,RB,29,35,0,0,0,0,0,0,0,0,27,2,0,0,0.0,0.0,0.0,0,0,18,24,75.0,2,16,2,1,0
Ivan Provedel,94,ITA,GK,29,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,33,38,86.8,0,19,0,0,0
