player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Ante Rebić,12,CRO,FW,29,90,0,0,0,0,1,1,0,0,37,1,0,0,0.2,0.2,0.2,1,0,19,32,59.4,1,24,1,3,2
Rafael Leão,17,POR,LW,23,78,2,0,0,0,3,2,0,0,49,0,1,0,0.5,0.5,0.0,3,0,26,37,70.3,3,32,5,6,3
Divock Origi,27,BEL,LW,28,12,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,4,9,44.4,2,8,2,0,0
Junior Messias,30,BRA,RW,31,58,0,0,0,0,0,0,0,0,25,1,0,1,0.0,0.0,0.0,2,1,15,19,78.9,0,20,3,3,2
Alexis Saelemaekers,56,BEL,RW,23,32,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,0,0,13,15,86.7,0,14,0,0,0
Brahim Díaz,10,ESP,AM,23,77,0,1,0,0,1,1,0,0,35,1,0,1,0.1,0.1,0.1,1,0,17,21,81.0,4,25,3,5,1
Charles De Ketelaere,90,BEL,AM,22,13,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,1,0,5,7,71.4,2,5,0,0,0
Sandro Tonali,8,ITA,DM,22,58,0,1,0,0,1,1,0,0,74,2,0,1,0.0,0.0,0.1,1,1,50,61,82.0,4,51,1,2,1
Ismaël Bennacer,4,ALG,DM,25,32,0,0,0,0,0,0,0,0,42,2,0,0,0.0,0.0,0.0,0,0,35,38,92.1,3,30,1,0,0
Rade Krunić,33,BIH,DM,29,90,0,0,0,0,0,0,0,0,97,3,1,0,0.0,0.0,0.0,2,1,77,91,84.6,5,69,5,1,0
Theo Hernández,19,FRA,LB,25,90,0,0,0,0,1,0,0,0,78,0,1,0,0.0,0.0,0.0,2,0,57,66,86.4,5,58,3,4,0
Fikayo Tomori,23,ENG,CB,25,90,0,0,0,0,0,0,0,0,99,2,1,1,0.0,0.0,0.2,1,0,79,89,88.8,5,69,2,0,0
Malick Thiaw,28,GER,CB,21,59,0,0,0,0,1,0,1,0,72,0,3,0,0.0,0.0,0.0,0,0,58,63,92.1,4,51,0,0,0
Simon Kjær,24,DEN,CB,34,31,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,1,0,21,25,84.0,0,23,0,0,0
Pierre Kalulu,20,FRA,RB,22,90,0,0,0,0,0,0,0,0,69,3,3,0,0.0,0.0,0.0,0,0,50,58,86.2,4,46,4,5,2
Mike Maignan,16,FRA,GK,27,90,0,0,0,0,0,0,0,0,53,0,0,0,0.0,0.0,0.0,0,0,41,52,78.8,0,43,0,0,0
