player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Divock Origi,27,BEL,FW,27,77,1,1,0,0,3,2,1,0,25,0,0,2,0.2,0.2,0.2,4,1,11,11,100.0,6,16,2,2,2
Aster Vranckx,40,BEL,AM,20,13,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,8,9,88.9,0,8,0,0,0
Ante Rebić,12,CRO,LW,29,59,0,0,0,0,1,1,0,0,27,1,0,0,0.2,0.2,0.0,0,0,11,22,50.0,3,15,0,1,1
Rafael Leão,17,POR,LW,23,31,1,0,0,0,3,1,0,0,16,0,0,0,0.3,0.3,0.0,0,0,10,12,83.3,3,13,3,0,0
Junior Messias,30,BRA,RW,31,90,0,1,0,0,1,0,0,0,45,0,0,4,0.1,0.1,0.1,3,3,26,32,81.3,5,20,2,2,1
Brahim Díaz,10,ESP,AM,23,52,2,0,0,0,2,2,0,0,29,1,0,0,0.4,0.4,0.2,1,0,19,25,76.0,3,13,3,1,1
Charles De Ketelaere,90,BEL,"AM,FW",21,38,0,0,0,0,1,1,0,0,20,1,0,1,0.0,0.0,0.1,2,0,8,10,80.0,0,11,2,5,2
Tommaso Pobega,32,ITA,DM,23,90,0,0,0,0,1,0,0,0,54,3,1,2,0.0,0.0,0.0,4,1,34,44,77.3,2,13,0,0,0
Ismaël Bennacer,4,ALG,DM,24,90,0,0,0,0,0,0,0,0,63,1,2,1,0.0,0.0,0.0,1,0,56,59,94.9,2,31,0,0,0
Theo Hernández,19,FRA,LB,25,90,0,1,0,0,0,0,0,0,69,1,1,1,0.0,0.0,0.2,2,2,49,66,74.2,4,40,3,1,0
Fikayo Tomori,23,ENG,CB,24,90,0,0,0,0,0,0,0,0,62,3,2,1,0.0,0.0,0.0,0,0,47,49,95.9,3,24,1,1,0
Simon Kjær,24,DEN,CB,33,59,0,0,0,0,0,0,0,0,31,2,0,0,0.0,0.0,0.0,0,0,22,29,75.9,0,13,0,0,0
Matteo Gabbia,46,ITA,CB,23,31,0,0,0,0,0,0,0,0,24,1,0,0,0.0,0.0,0.0,0,0,17,21,81.0,1,11,0,0,0
Sergiño Dest,21,USA,RB,21,45,0,0,0,0,0,0,0,0,38,3,0,0,0.0,0.0,0.0,2,0,30,32,93.8,3,26,5,4,2
Pierre Kalulu,20,FRA,RB,22,45,0,0,0,0,0,0,0,0,38,0,0,1,0.0,0.0,0.0,0,0,31,35,88.6,5,24,0,0,0
Ciprian Tătărușanu,1,ROU,GK,36,90,0,1,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.3,1,1,32,40,80.0,0,30,0,0,0
